season,week,home_team,away_team,has_odds,provider_count,providers
2025,14,Eastern Michigan,Western Michigan,True,41,"1xBet,Bally Bet,Bet Victor,BetAnything,BetMGM,BetOnline.ag,BetRivers,BetUS,Betfair Sportsbook,Betsson,Betway,Bovada,BoyleSports,Caesars,Casumo,Coolbet,Coral,DraftKings,ESPN BET,FanDuel,Fanatics,Fliff,GTbets,Grosvenor,Hard Rock Bet,Ladbrokes,LeoVegas,LeoVegas (SE),LiveScore Bet,LowVig.ag,Marathon Bet,MyBookie.ag,Nordic Bet,Paddy Power,Pinnacle,ReBet,Unibet (NL),Unibet (SE),Unibet (UK),Virgin Bet,betPARX"
2025,14,Massachusetts,Bowling Green,True,41,"1xBet,Bally Bet,Bet Victor,BetAnything,BetMGM,BetOnline.ag,BetRivers,BetUS,Betfair Sportsbook,Betsson,Betway,Bovada,BoyleSports,Caesars,Casumo,Coolbet,Coral,DraftKings,ESPN BET,FanDuel,Fanatics,Fliff,GTbets,Grosvenor,Hard Rock Bet,Ladbrokes,LeoVegas,LeoVegas (SE),LiveScore Bet,LowVig.ag,Marathon Bet,MyBookie.ag,Nordic Bet,Paddy Power,Pinnacle,ReBet,Unibet (NL),Unibet (SE),Unibet (UK),Virgin Bet,betPARX"
2025,14,Alabama State,Tuskegee,False,0,
2025,14,Memphis,Navy,True,40,"1xBet,Bally Bet,BetAnything,BetMGM,BetOnline.ag,BetRivers,BetUS,Betfair Sportsbook,Betsson,Betway,Bovada,BoyleSports,Caesars,Casumo,Coolbet,Coral,DraftKings,ESPN BET,FanDuel,Fanatics,Fliff,GTbets,Grosvenor,Hard Rock Bet,Ladbrokes,LeoVegas,LeoVegas (SE),LiveScore Bet,LowVig.ag,Marathon Bet,MyBookie.ag,Nordic Bet,Paddy Power,Pinnacle,ReBet,Unibet (NL),Unibet (SE),Unibet (UK),Virgin Bet,betPARX"
2025,14,Arizona State,Arizona,True,38,"1xBet,Bally Bet,BetAnything,BetMGM,BetOnline.ag,BetRivers,BetUS,Betsson,Betway,Bovada,BoyleSports,Caesars,Casumo,Coolbet,Coral,DraftKings,ESPN BET,FanDuel,Fanatics,Fliff,GTbets,Grosvenor,Hard Rock Bet,Ladbrokes,LeoVegas,LeoVegas (SE),LiveScore Bet,LowVig.ag,Marathon Bet,MyBookie.ag,Nordic Bet,Paddy Power,Pinnacle,Unibet (NL),Unibet (SE),Unibet (UK),Virgin Bet,betPARX"
2025,14,Buffalo,Ohio,True,38,"1xBet,Bally Bet,BetAnything,BetMGM,BetOnline.ag,BetRivers,BetUS,Betfair Sportsbook,Betsson,Betway,Bovada,BoyleSports,Caesars,Casumo,Coolbet,Coral,DraftKings,ESPN BET,FanDuel,Fanatics,Fliff,Grosvenor,Hard Rock Bet,Ladbrokes,LeoVegas,LeoVegas (SE),LiveScore Bet,LowVig.ag,Marathon Bet,MyBookie.ag,Nordic Bet,Paddy Power,Pinnacle,Unibet (NL),Unibet (SE),Unibet (UK),Virgin Bet,betPARX"
2025,14,Colorado State,Air Force,True,38,"1xBet,Bally Bet,BetAnything,BetMGM,BetOnline.ag,BetRivers,BetUS,Betfair Sportsbook,Betsson,Betway,Bovada,BoyleSports,Caesars,Casumo,Coolbet,Coral,DraftKings,ESPN BET,FanDuel,Fanatics,Fliff,GTbets,Grosvenor,Hard Rock Bet,Ladbrokes,LeoVegas,LeoVegas (SE),LiveScore Bet,LowVig.ag,Marathon Bet,MyBookie.ag,Nordic Bet,Paddy Power,Unibet (NL),Unibet (SE),Unibet (UK),Virgin Bet,betPARX"
2025,14,Northern Illinois,Kent State,True,38,"1xBet,Bally Bet,BetAnything,BetMGM,BetOnline.ag,BetRivers,BetUS,Betfair Sportsbook,Betsson,Betway,Bovada,BoyleSports,Caesars,Casumo,Coolbet,Coral,DraftKings,ESPN BET,FanDuel,Fanatics,Fliff,Grosvenor,Hard Rock Bet,Ladbrokes,LeoVegas,LeoVegas (SE),LiveScore Bet,LowVig.ag,Marathon Bet,MyBookie.ag,Nordic Bet,Paddy Power,Pinnacle,Unibet (NL),Unibet (SE),Unibet (UK),Virgin Bet,betPARX"
2025,14,UTSA,Army,True,33,"Bally Bet,BetAnything,BetOnline.ag,BetRivers,BetUS,Betsson,Bovada,Caesars,Casumo,Coolbet,Coral,DraftKings,ESPN BET,FanDuel,Fanatics,Fliff,GTbets,Grosvenor,Hard Rock Bet,Ladbrokes,LeoVegas,LeoVegas (SE),LiveScore Bet,LowVig.ag,MyBookie.ag,Nordic Bet,Paddy Power,Pinnacle,Unibet (NL),Unibet (SE),Unibet (UK),Virgin Bet,betPARX"
2025,14,Kansas,Utah,True,39,"1xBet,Bally Bet,BetAnything,BetMGM,BetOnline.ag,BetRivers,BetUS,Betfair Sportsbook,Betsson,Betway,Bovada,BoyleSports,Caesars,Casumo,Coolbet,Coral,DraftKings,ESPN BET,FanDuel,Fanatics,Fliff,GTbets,Grosvenor,Hard Rock Bet,Ladbrokes,LeoVegas,LeoVegas (SE),LiveScore Bet,Marathon Bet,MyBookie.ag,Nordic Bet,Paddy Power,Pinnacle,ReBet,Unibet (NL),Unibet (SE),Unibet (UK),Virgin Bet,betPARX"
