season,week,home_team,away_team,has_odds,provider_count,providers
2025,1,Wingate,UNC Pembroke,False,0,
2025,1,West Alabama,Fort Valley State,False,0,
2025,1,Lincoln (MO),Lincoln (CA),False,0,
2025,1,Arkansas State,Southeast Missouri State,True,1,ESPN Bet
2025,1,Bluefield State,Greeneville,False,0,
2025,1,Florida,Long Island University,False,0,
2025,1,Grambling,Langston University,False,0,
2025,1,Incarnate Word,Eastern Washington,False,0,
2025,1,Kansas State,North Dakota,True,1,ESPN Bet
2025,1,McNeese,Louisiana College,False,0,
2025,1,Middle Tennessee,Austin Peay,True,1,ESPN Bet
2025,1,Missouri S&T,Central Methodist,False,0,
2025,1,South Alabama,Morgan State,True,1,ESPN Bet
2025,1,Southern Illinois,Thomas More College,False,0,
2025,1,Texas A&M,UTSA,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Troy,Nicholls,True,1,ESPN Bet
2025,1,UT Permian Basin,Central Oklahoma,False,0,
2025,1,Vanderbilt,Charleston Southern,True,1,ESPN Bet
2025,1,Western Kentucky,North Alabama,True,1,ESPN Bet
2025,1,Clemson,LSU,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Houston Christian,Little Rock,False,0,
2025,1,Louisiana Tech,SE Louisiana,True,1,ESPN Bet
2025,1,Michigan,New Mexico,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Texas Tech,Arkansas-Pine Bluff,False,0,
2025,1,USC,Missouri State,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Utah State,UTEP,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Ole Miss,Georgia State,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,BYU,Portland State,True,1,ESPN Bet
2025,1,Louisiana,Rice,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Missouri Southern State,Midwestern State,False,0,
2025,1,North Texas,Lamar,False,0,
2025,1,San Diego,Cal Poly,False,0,
2025,1,Texas Southern,Prairie View A&M,False,0,
2025,1,Texas State,Eastern Michigan,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Tulsa,Abilene Christian,False,0,
2025,1,Western New Mexico,Adams State,False,0,
2025,1,Southern Utah,Idaho State,False,0,
2025,1,New Mexico State,Bryant,True,1,ESPN Bet
2025,1,SMU,East Texas A&M,True,1,ESPN Bet
2025,1,Fresno State,Georgia Southern,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Arizona State,Northern Arizona,True,1,ESPN Bet
2025,1,Utah Tech,UC Davis,False,0,
2025,1,Washington State,Idaho,True,1,ESPN Bet
2025,1,Arizona,Hawai'i,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Oregon State,California,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,UCLA,Utah,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Washington,Colorado State,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,South Carolina,Virginia Tech,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,Virginia Union,Miles College,False,0,
2025,1,Tuskegee,Winston-Salem,False,0,
2025,1,Miami,Notre Dame,True,3,"Bovada,DraftKings,ESPN Bet"
2025,1,North Carolina,TCU,True,3,"Bovada,DraftKings,ESPN Bet"
