season,week,home_team,away_team,has_odds,provider_count,providers
2025,9,Florida International,Kennesaw State,False,0,
2025,9,Louisiana Tech,Western Kentucky,False,0,
2025,9,Delaware,Middle Tennessee,False,0,
2025,9,New Mexico State,Missouri State,False,0,
2025,9,Georgia State,South Alabama,False,0,
2025,9,Dartmouth,Columbia,False,0,
2025,9,Charlotte,North Texas,False,0,
2025,9,Virginia Tech,California,False,0,
2025,9,Nevada,Boise State,False,0,
2025,9,Sacramento State,Montana,False,0,
2025,9,Arizona State,Houston,False,0,
2025,9,Arkansas,Auburn,False,0,
2025,9,Arkansas State,Georgia Southern,False,0,
2025,9,Buffalo,Akron,False,0,
2025,9,Central Michigan,Massachusetts,False,0,
2025,9,Chapman,Claremont-Mudd-Scripps College,False,0,
2025,9,Cincinnati,Baylor,False,0,
2025,9,Concord University,West Virginia Wesleyan,False,0,
2025,9,Cornell,Brown,False,0,
2025,9,East Tennessee State,Wofford,False,0,
2025,9,East Texas A&M,Stephen F. Austin,False,0,
2025,9,Eastern Michigan,Ohio,False,0,
2025,9,Fairmont State,University Of Charleston (WV),False,0,
2025,9,Ferrum,ERSKINE,False,0,
2025,9,Fresno State,San Diego State,False,0,
2025,9,Furman,The Citadel,False,0,
2025,9,Georgia Tech,Syracuse,False,0,
2025,9,Hendrix College,LYONCOLL,False,0,
2025,9,Holy Cross,Colgate,False,0,
2025,9,Howard,Morgan State,False,0,
2025,9,Idaho,Portland State,False,0,
2025,9,Idaho State,Northern Arizona,False,0,
2025,9,Indiana,UCLA,False,0,
2025,9,Iowa,Minnesota,False,0,
2025,9,Iowa State,BYU,False,0,
2025,9,Kansas,Kansas State,True,2,"DraftKings,ESPN Bet"
2025,9,Kent State,Bowling Green,False,0,
2025,9,Kentucky,Tennessee,False,0,
2025,9,LSU,Texas A&M,True,2,"DraftKings,ESPN Bet"
2025,9,Lincoln (PA),Elizabeth City State,False,0,
2025,9,Louisville,Boston College,False,0,
2025,9,Marist,Drake,False,0,
2025,9,Memphis,South Florida,False,0,
2025,9,Mercyhurst,Stonehill,False,0,
2025,9,Miami,Stanford,False,0,
2025,9,Miami (OH),Western Michigan,False,0,
2025,9,Michigan State,Michigan,True,2,"DraftKings,ESPN Bet"
2025,9,Mississippi State,Texas,False,0,
2025,9,Missouri Southern State,Missouri Western,False,0,
2025,9,Nebraska,Northwestern,False,0,
2025,9,New Mexico,Utah State,False,0,
2025,9,Nicholls,McNeese,False,0,
2025,9,Nichols College,Endicott College,False,0,
2025,9,Norfolk State,South Carolina State,False,0,
2025,9,North Carolina,Virginia,False,0,
2025,9,North Carolina Central,Delaware State,False,0,
2025,9,Northern Colorado,UC Davis,False,0,
2025,9,Northern Illinois,Ball State,False,0,
2025,9,Oklahoma,Ole Miss,False,0,
2025,9,Old Dominion,App State,False,0,
2025,9,Oregon,Wisconsin,False,0,
2025,9,Pittsburgh,NC State,False,0,
2025,9,Prairie View A&M,Lincoln (CA),False,0,
2025,9,Princeton,Harvard,False,0,
2025,9,Purdue,Rutgers,False,0,
2025,9,Quincy,Missouri S&T,False,0,
2025,9,Rice,UConn,False,0,
2025,9,South Carolina,Alabama,True,1,DraftKings
2025,9,South Dakota,Illinois State,False,0,
2025,9,South Dakota State,North Dakota State,False,0,
2025,9,Southern,Florida A&M,False,0,
2025,9,Southern Miss,UL Monroe,False,0,
2025,9,St. Francis (PA),Robert Morris,False,0,
2025,9,Tennessee State,Western Illinois,False,0,
2025,9,Texas Tech,Oklahoma State,False,0,
2025,9,Troy,Louisiana,False,0,
2025,9,Tulsa,Temple,False,0,
2025,9,UT Rio Grande Valley,Incarnate Word,False,0,
2025,9,Utah,Colorado,True,1,ESPN Bet
2025,9,Vanderbilt,Missouri,False,0,
2025,9,Wagner,Duquesne,False,0,
2025,9,Wake Forest,SMU,False,0,
2025,9,Washington,Illinois,False,0,
2025,9,West Alabama,Delta State,False,0,
2025,9,West Virginia,TCU,False,0,
2025,9,Albright,FDU-Florham,False,0,
2025,9,Alfred University,Utica,False,0,
2025,9,Anna Maria College,Fitchburg State,False,0,
2025,9,Assumption,American International,False,0,
2025,9,Bentley,Pace,False,0,
2025,9,Bridgewater State,UMass Dartmouth,False,0,
2025,9,Bucknell,Georgetown,False,0,
2025,9,Castleton,Montclair State,False,0,
2025,9,Coast Guard,Norwich,False,0,
2025,9,Curry College,Western New England,False,0,
2025,9,Davenport,Roosevelt,False,0,
2025,9,Dayton,Presbyterian,False,0,
2025,9,Delaware Valley,Stevenson,False,0,
