pred_margin,home_win_prob
-31.6,0.0
-18.27,0.42857142857142855
-13.89,0.47692307692307695
-11.42,0.47692307692307695
-8.56,0.47692307692307695
-6.03,0.6403508771929826
-4.34,0.6403508771929826
-2.25,0.6403508771929826
-0.82,0.6403508771929826
1.09,0.7307692307692307
3.55,0.7307692307692307
4.83,0.7307692307692307
6.58,0.8352941176470589
8.2,0.8352941176470589
9.91,0.8352941176470589
11.14,0.835820895522388
13.19,0.835820895522388
15.0,0.835820895522388
17.41,0.8387096774193549
21.1,0.8809523809523809
37.44,1.0
