count,wins,losses,pushes,acc,stake,pnl,roi,week
50,10,40,0,0.2,625.0,25.0,0.04,1
4,4,0,0,1.0,200.0,181.8,0.909,3
2,2,0,0,1.0,100.0,90.9,0.909,4
1708,0,21,0,0.0,21650.0,-262.5,-0.01212471131639723,5
4,0,0,0,0.0,200.0,0.0,0.0,6
8,0,0,0,0.0,400.0,0.0,0.0,7
4,0,0,0,0.0,200.0,0.0,0.0,8
6,0,0,0,0.0,300.0,0.0,0.0,9
6,0,0,0,0.0,300.0,0.0,0.0,11
4,0,0,0,0.0,50.0,0.0,0.0,12
4,0,0,0,0.0,200.0,0.0,0.0,14
