school,mascot,abbreviation,conference,logo,color,alt_color
Fresno State,Bulldogs,FRES,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,#db0032,
Friends University,Friends,FRIE,,,#null,
Frostburg State,Bobcats,FRO,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/341.png,#null,
Furman,Paladins,FUR,Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/231.png,#582c83,
Gallaudet,Bison,GAL,ECFC,http://a.espncdn.com/i/teamlogos/ncaa/500/417.png,#null,
Gannon,Golden Knights,GAN,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/367.png,#null,
Garden City C.C. ,,,,,#null,
Gardner-Webb,Runnin' Bulldogs,GWEB,Big South-OVC,http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png,#c12535,
Geneva,Golden Tornadoes,GENEVA,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/2242.png,#null,
George Mason University,Patriots,GMU,,http://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,#016600,
Georgetown,Hoyas,GTWN,Patriot,http://a.espncdn.com/i/teamlogos/ncaa/500/46.png,#110E42,
Georgetown College Kentucky,Tigers,GTOWNCOLL,,,#null,
Georgia,Bulldogs,UGA,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,#ba0c2f,
Georgia Military,,,,,#null,
Georgia Military College Prep,,,,,#null,
Georgia Southern,Eagles,GASO,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,#003775,
Georgia State,Panthers,GAST,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png,#1e539a,
Georgia Tech,Yellow Jackets,GT,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,#003057,
Gettysburg,Bullets,GETTY,Centennial,http://a.espncdn.com/i/teamlogos/ncaa/500/2248.png,#null,
Glenville State,Pioneers,GLENVILLE,Mountain East,http://a.espncdn.com/i/teamlogos/ncaa/500/2249.png,#null,
Glenville State ,,,,,#null,
Graceland University,Graceland,GRC,,http://a.espncdn.com/i/teamlogos/ncaa/500/530.png,#null,
Grambling,Tigers,GRAM,SWAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png,#ee8601,
Grand Valley State University,Lakers,GVSU,GLIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/125.png,#null,
Greeneville,Pioneers,TUS,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2839.png,#f2682a,
Greensboro College,Pride,GRNSBORO,USA South,http://a.espncdn.com/i/teamlogos/ncaa/500/2256.png,#null,
Greenville,Panthers,GRNVIL,Upper Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2257.png,#f36917,
Grinnell,Pioneers,GRI,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/65.png,#null,
Grove City College,Wolverines,GRO,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/146.png,#null,
Guilford College,Quakers,GUI,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/2258.png,#910028,
Gustavus Adolphus,Golden Gusties,GUSADOL,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/2968.png,#null,
Hamilton,Continentals,HAM,NESCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/348.png,#062f87,
Hamline University,Pipers,HAM,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/162.png,#98012e,
Hampden-Sydney,Tigers,HAM,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/297.png,#900028,
Hampton,Pirates,HAMP,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,#0067AC,
Hanover College,Panthers,HAN,Heartland,http://a.espncdn.com/i/teamlogos/ncaa/500/2262.png,#0b486d,
Harding University,Bisons,HARDING,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png,#null,
Hardin-Simmons,Cowboys,HARDSIM,American Southwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2810.png,#5b2d83,
Hartwick,Hawks,HAR,Empire 8,http://a.espncdn.com/i/teamlogos/ncaa/500/173.png,#null,
Harvard,Crimson,HARV,Ivy,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png,#990000,
Haskell Indian Nations Univ,Jayhawks,HASKELL,,http://a.espncdn.com/i/teamlogos/ncaa/500/535.png,#null,
Hawai'i,Rainbow Warriors,HAW,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png,#003420,
Heidelberg,Student Princes,HEI,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/191.png,#null,
Henderson State,Reddies,HENDERSON,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png,#null,
Hendrix College,Warriors,HENDRIX,Southern Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/418.png,#null,
Highland C.C.,,,,,#null,
Hilbert College,Hawks,HIL,Empire 8,,#null,
Hillsdale,Chargers,HILLSDALE,Great Midwest Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2273.png,#null,
Hillsdale College,,,,,#null,
Hinds C.C.,,,,,#null,
Hiram College,Terriers,HIR,North Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/2274.png,#null,
Hobart College,Statesmen,HBRT,Liberty League,http://a.espncdn.com/i/teamlogos/ncaa/500/174.png,#null,
Holland College,Hurricanes,HOL,,,#null,
Holmes C.C.,,,,,#null,
Holy Cross,Crusaders,HC,Patriot,http://a.espncdn.com/i/teamlogos/ncaa/500/107.png,#0a0a0a,
Hope ,,,,,#null,
Hope College,Flying Dutchmen,HOP,Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/2812.png,#null,
Houston,Cougars,HOU,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,#c92a39,
Houston Christian,Huskies,HCU,Southland,http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,#00539c,
Howard,Bison,HOW,MEAC,http://a.espncdn.com/i/teamlogos/ncaa/500/47.png,#003a63,
Howard Payne,Yellow Jackets,HOWPAY,American Southwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2758.png,#02215b,
Humboldt State,Lumberjacks,HUM,,http://a.espncdn.com/i/teamlogos/ncaa/500/2278.png,#000000,
Huntingdon College (AL),Hawks,HNTNGDN,USA South,http://a.espncdn.com/i/teamlogos/ncaa/500/2938.png,#null,
Husson,Eagles,HUSSON,Commonwealth Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/2280.png,#004b44,
Hutchinson C.C.,,,,,#null,
Hutchinson C.C.,,,,,#null,
Idaho,Vandals,IDHO,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/70.png,#null,
Idaho State,Bengals,IDST,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/304.png,#ef8c00,
Illinois,Fighting Illini,ILL,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png,#ff5f05,
Illinois College,Blueboys,ILLCOLL,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2286.png,#null,
Illinois State,Redbirds,ILST,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,#CE1126,
Illinois Wesleyan,Titans,ILLWES,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/306.png,#null,
Incarnate Word,Cardinals,UIW,Southland,http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png,#null,
Independence C.C.,,,,,#null,
Independence C.C.,,,,,#null,
Independence C.C.,,,,,#null,
Indiana,Hoosiers,IU,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,#990000,
Indiana-Pennsylvania,Crimson Hawks,INDIANAPA,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2291.png,#null,
Indianapolis,Greyhounds,INDY,Great Lakes,http://a.espncdn.com/i/teamlogos/ncaa/500/2292.png,#null,
Indiana State,Sycamores,INST,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png,#00669a,
Indiana Wesleyan,Wildcats,INWESL,,,#null,
Iona,Gaels,IONA,,,#null,
Iowa,Hawkeyes,IOWA,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,#000000,
Iowa Central C.C.,,,,,#null,
Iowa State,Cyclones,ISU,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,#822433,
Iowa Wesleyan,Tigers,IOW,,http://a.espncdn.com/i/teamlogos/ncaa/500/2295.png,#000000,
Iowa Western C.C.,,,,,#null,
Itawamba C.C.,,,,,#null,
Ithaca College,Bombers,ITH,Liberty League,http://a.espncdn.com/i/teamlogos/ncaa/500/175.png,#null,
Jackson State,Tigers,JKST,SWAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,#123297,
Jacksonville,Dolphins,JAC,,http://a.espncdn.com/i/teamlogos/ncaa/500/294.png,#00523e,
Jacksonville State,Gamecocks,JXST,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png,#b50500,
James Madison,Dukes,JMU,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png,#450084,
Jamestown College,Jimmies,JAM,,http://a.espncdn.com/i/teamlogos/ncaa/500/2939.png,#null,
John Carroll University,Blue Streaks,JOH,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/2302.png,#null,
Johns Hopkins University,Blue Jays,JHU,Centennial,http://a.espncdn.com/i/teamlogos/ncaa/500/118.png,#null,
Johnson C Smith,Golden Bulls,JOH,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2304.png,#null,
Johnson C. Smith University,,,,,#null,
Juniata College,Eagles,JUN,Landmark Conference,http://a.espncdn.com/i/teamlogos/ncaa/500/246.png,#031832,
Kalamazoo,Hornets,KAL,Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/126.png,#null,
Kansas,Jayhawks,KU,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,#0051ba,
Kansas State,Wildcats,KSU,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,#3c0969,
Kansas Wesleyan,Ks Wesleyan,KANSA,,http://a.espncdn.com/i/teamlogos/ncaa/500/547.png,#null,
Keiser (Fl),Keiser (Fl),,,,#null,
Keiser University,Keiser,KEISER,,,#null,
Kennesaw State,Owls,KENN,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png,#fdbb30,
Kent State,Golden Flashes,KENT,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,#003976,
Kentucky,Wildcats,UK,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png,#0033a0,
Kentucky State,Thorobreds,KYST,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2310.png,#null,
Kentucky Wesleyan,Panthers,KYWESL,Great Midwest Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2316.png,#null,
Kenyon,Owls,KEN,North Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/352.png,#null,
Keystone,Giants,KEY,Landmark Conference,,#null,
Kilgore College,,,,,#null,
Kilgore J.C.,,,,,#null,
King's College,,,,,#null,
Kings College (PA),Monarchs,KIN,Mid Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/247.png,#c41230,
Kutztown University,Golden Bears,KUTZTOWN,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2315.png,#null,
Lackawanna C.C.,,,,,#null,
Lackawanna College,,,,,#null,
Lafayette,Leopards,LAF,Patriot,http://a.espncdn.com/i/teamlogos/ncaa/500/322.png,#790000,
Lagrange College,Panthers,LAG,USA South,http://a.espncdn.com/i/teamlogos/ncaa/500/548.png,#null,
Lake Erie,Storm,LAKEERIE,Great Midwest Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/437.png,#null,
Lake Erie College,,,,,#null,
Lake Forest College,Foresters,LAK,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/262.png,#null,
LAKELAND,Fires,SEU,,http://a.espncdn.com/i/teamlogos/ncaa/500/267.png,#007dc3,
Lamar,Cardinals,LAM,Southland,http://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,#null,
Lambuth,Eagles,LAM,,http://a.espncdn.com/i/teamlogos/ncaa/500/2321.png,#000000,
Laney College,,,,,#null,
Langston University,Lions,LANGSTON,,http://a.espncdn.com/i/teamlogos/ncaa/500/2324.png,#null,
La Salle,Explorers,LAS,,,#null,
Laurinburg,Knights,ST. A,,,#null,
La Verne,Leopards,LAVERNE,So. Cal.,http://a.espncdn.com/i/teamlogos/ncaa/500/2318.png,#004812,
Lawrence Tech,Blue Devils,LWTC,,,#null,
Lawrence University,Vikings,LAW,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/268.png,#null,
Lebanon Valley,Flying Dutchmen,LEB,Mid Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/388.png,#003767,
Lehigh,Mountain Hawks,LEH,Patriot,http://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,#6c2b2a,
Lenoir-Rhyne,Bears,LENRHYNE,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2331.png,#null,
Lewis & Clark College,Pioneers,LEW,Northwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2333.png,#f37737,
Liberty,Flames,LIB,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,#071740,
Limestone,Saints,LIMESTONE,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2336.png,#19468d,
Limestone College,,,,,#null,
Limestone University,,,,,#null,
Lincoln (CA),Oaklanders,LIN,Independent DII,,#null,
Lincoln (MO),Blue Tigers,LIN,Great Lakes,http://a.espncdn.com/i/teamlogos/ncaa/500/2876.png,#null,
Lincoln (PA),Lions,LINP,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2339.png,#null,
Lindenwood,Lions,LIN,Big South-OVC,http://a.espncdn.com/i/teamlogos/ncaa/500/2815.png,#null,
Lindenwood Belleville,Lynx,LINB,,http://a.espncdn.com/i/teamlogos/ncaa/500/3209.png,#null,
Lindenwood University,,,,,#null,
Lindsey Wilson College,Lindsey,LINDWIL,,http://a.espncdn.com/i/teamlogos/ncaa/500/2877.png,#null,
Linfield College,Wildcats,LIN,Northwest,http://a.espncdn.com/i/teamlogos/ncaa/500/203.png,#46256a,
Little Rock,Buffaloes,ARKAN,,,#null,
LIU Post,Pioneers,LIU,,http://a.espncdn.com/i/teamlogos/ncaa/500/2089.png,#000000,
Livingstone,Blue Bears,LIV,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2940.png,#null,
Livingstone College,,,,,#null,
Lock Haven University,Bald Eagles,LHU,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/209.png,#null,
Long Beach City College,,,,,#null,
Long Island University,Sharks,LIU,NEC,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png,#null,
Louisburg,Hurricanes,LSBG,,,#null,
Louisiana,Ragin' Cajuns,UL,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,#ce181e,
Louisiana College,Wildcats,LACOLLEGE,,http://a.espncdn.com/i/teamlogos/ncaa/500/2347.png,#null,
Louisiana Tech,Bulldogs,LT,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,#002d65,
Louisville,Cardinals,LOU,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,#c9001f,
LSU,Tigers,LSU,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,#461d7c,
Luther,Norse,LUT,American Rivers,http://a.espncdn.com/i/teamlogos/ncaa/500/67.png,#015a9c,
Lycoming,Warriors,LYCOMING,Landmark Conference,http://a.espncdn.com/i/teamlogos/ncaa/500/2354.png,#15283f,
LYONCOLL,Scots,LYON,Southern Collegiate Athletic,,#null,
Macalester,Scots,MACALES,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/2359.png,#null,
MacMurray College,Highlanders,MAC,,http://a.espncdn.com/i/teamlogos/ncaa/500/273.png,#000000,
Madonna University,Madonna,MADON,,,#null,
Madonna University (Mich.),Madonna Un,,,,#null,
Maine,Black Bears,ME,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/311.png,#127dbe,
Maine Maritime,Mariners,MAI,Independent DIII,http://a.espncdn.com/i/teamlogos/ncaa/500/274.png,#null,
Malone,Pioneers,MAL,,http://a.espncdn.com/i/teamlogos/ncaa/500/556.png,#000000,
Manchester,Spartans,MNCHSTR,Heartland,http://a.espncdn.com/i/teamlogos/ncaa/500/2362.png,#ddac14,
MANITOBA,Manitoba,MAN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2770.png,#null,
Mansfield University,Mountaineers,MANSFIELD,,http://a.espncdn.com/i/teamlogos/ncaa/500/2365.png,#null,
Maranatha Baptist College,Crusaders,MAR,,http://a.espncdn.com/i/teamlogos/ncaa/500/421.png,#000000,
Marian College,Marian,MARIANIN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2366.png,#null,
MARIAN (IN,Marian (In,,,,#null,
Marietta,Pioneers,MAR,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/317.png,#null,
Marist,Red Foxes,MRST,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png,#e53730,
Marshall,Thundering Herd,MRSH,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,#00ae42,
Marshall Sr.,,,,,#null,
Mars Hill,Lions,MH,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2369.png,#004b8d,
Martin Luther,Knights,MAR,Upper Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/446.png,#null,
Mary Hardin-Baylor,Crusaders,MRYHRBAY,American Southwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2371.png,#492f92,
Maryland,Terrapins,MD,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,#D5002B,
Maryville College (TN),Scots,MRYVILTN,USA South,http://a.espncdn.com/i/teamlogos/ncaa/500/2373.png,#null,
Massachusetts,Minutemen,MASS,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,#971B2F,
Mass Maritime,Buccaneers,MAMARI,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/110.png,#212c62,
Mayville State,Comets,MAYVILLE,,http://a.espncdn.com/i/teamlogos/ncaa/500/561.png,#null,
McDaniel College,Green Terror,MCD,Centennial,http://a.espncdn.com/i/teamlogos/ncaa/500/2700.png,#00674d,
McMurry,War Hawks,MCM,Southern Collegiate Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/241.png,#98002e,
McNeese,Cowboys,MCN,Southland,http://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,#00529C,
Mcpherson College,Mcpherson,,,,#null,
Memphis,Tigers,MEM,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,#004991,
Menlo,Oaks,MEN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2381.png,#000000,
Mercer,Bears,MER,Southern,http://a.espncdn.com/i/teamlogos/ncaa/500/2382.png,#ff7f29,
Merchant Marine Academy,Mariners,MER,NEWMAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2383.png,#null,
Mercyhurst,Lakers,MERC,NEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2385.png,#null,
Mercyhurst College,,,,,#null,
Merrimack,Warriors,MRMK,FCS Independents,http://a.espncdn.com/i/teamlogos/ncaa/500/2771.png,#null,
Methodist,Monarchs,MTH,USA South,http://a.espncdn.com/i/teamlogos/ncaa/500/291.png,#null,
Miami,Hurricanes,MIA,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,#005030,
Miami (OH),RedHawks,M-OH,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,#a4000c,
Michigan,Wolverines,MICH,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,#00274c,
Michigan State,Spartans,MSU,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,#18453b,
Michigan Tech,Huskies,MTU,GLIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2392.png,#null,
Middlebury,Panthers,MIDLBRY,NESCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2394.png,#365a8a,
Middle Georgia State College,Knights,MGST,,,#null,
Middle Tennessee,Blue Raiders,MTSU,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,#006db6,
Midland Lutheran College,Midland Lutheran,MIDLAND,,http://a.espncdn.com/i/teamlogos/ncaa/500/565.png,#null,
Midwestern State,Mustangs,MID,Lone Star,http://a.espncdn.com/i/teamlogos/ncaa/500/2395.png,#null,
Miles College,Golden Bears,MIL,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2396.png,#null,
Millersville,Marauders,MIL,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/210.png,#null,
Millikin,Big Blue,MIL,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/74.png,#null,
Millsaps,Majors,MIL,Southern Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2398.png,#null,
Minnesota,Golden Gophers,MINN,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,#5e0a2f,
Minnesota-Crookston,Golden Eagles,MIN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2772.png,#000000,
Minnesota Duluth,Bulldogs,UMD,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/134.png,#null,
Minnesota Duluth,,,,,#null,
Minnesota Morris,Cougars,MNMOR,Upper Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2399.png,#8d191b,
Minnesota State Mankato,Mavericks,MNST,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/2364.png,#null,
Minnesota State Moorhead,Dragons,MIN,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/2817.png,#null,
Minot State,Beavers,MIN,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/568.png,#null,
Misericordia,Cougars,MISC,Mid Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2969.png,#null,
Mississippi College,Choctaws,MIS,Gulf South,http://a.espncdn.com/i/teamlogos/ncaa/500/2401.png,#0c2240,
Mississippi Gulf Coast C.C.,,,,,#null,
Mississippi State,Bulldogs,MSST,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,#5d1725,
Mississippi Valley State,Delta Devils,MVSU,SWAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2400.png,#005328,
Missouri,Tigers,MIZ,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,#f1b82d,
Missouri Southern State,Lions,MOSSTC,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/2403.png,#null,
Missouri S&T,Miners,MISSO,Great Lakes,http://a.espncdn.com/i/teamlogos/ncaa/500/2402.png,#null,
Missouri State,Bears,MOST,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,#5F0000,
Missouri Western,Griffons,MOW,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/137.png,#null,
Missouri Western State,,,,,#null,
Monash University,,,,,#null,
Monmouth,Hawks,MONM,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2405.png,#051844,
Monmouth (IL),Fighting Scots,MONMIL,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2919.png,#null,
Montana,Grizzlies,MONT,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/149.png,#751D4A,
Montana State,Bobcats,MTST,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/147.png,#00205c,
MONTANASTN,Montanastn,,,,#null,
Montana Tech,Orediggers,MAI,,,#null,
Montana-Western,Bulldogs,MTWST,,http://a.espncdn.com/i/teamlogos/ncaa/500/2701.png,#null,
Montclair State,Red Hawks,MON,New Jersey,http://a.espncdn.com/i/teamlogos/ncaa/500/2818.png,#c20f2f,
Monterrey Tech,Borregos,MON,,http://a.espncdn.com/i/teamlogos/ncaa/500/3100.png,#null,
Moravian,Greyhounds,MOR,Landmark Conference,http://a.espncdn.com/i/teamlogos/ncaa/500/323.png,#1f3361,
Morehead State,Eagles,MORE,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/2413.png,#094FA3,
Morehouse College,Maroon Tigers,MOR,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/60.png,#null,
Morgan State,Bears,MORG,MEAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,#014786,
Morningside College,Chiefs,MSIDE,,http://a.espncdn.com/i/teamlogos/ncaa/500/2416.png,#null,
Morthland,Patriots,MORTH,,,#null,
Mount Ida College,Mustangs,MOU,ECFC,http://a.espncdn.com/i/teamlogos/ncaa/500/481.png,#000000,
Mount St. Joseph,Lions,MTS,Heartland,http://a.espncdn.com/i/teamlogos/ncaa/500/2419.png,#002d5d,
Mt. San Antonio College,,,,,#null,
Muhlenberg,Mules,MHLBRG,Centennial,http://a.espncdn.com/i/teamlogos/ncaa/500/2422.png,#null,
Murray State,Racers,MUR,MVFC,http://a.espncdn.com/i/teamlogos/ncaa/500/93.png,#002148,
Muskingum University,Fighting Muskies,MUS,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/332.png,#null,
National,,NAT,,,#000000,
Navarro College,,,,,#null,
Navy,Midshipmen,NAVY,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,#00225b,
NC State,Wolfpack,NCSU,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,#cc0000,
Nebraska,Cornhuskers,NEB,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,#d00000,
Nebraska Kearney,,,,,#null,
Nebraska-Kearney,Lopers,NEKR,Mid America,http://a.espncdn.com/i/teamlogos/ncaa/500/2438.png,#null,
Nebraska-Omaha,Mavericks,UNO,,http://a.espncdn.com/i/teamlogos/ncaa/500/2437.png,#e3193e,
Nevada,Wolf Pack,NEV,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,#002d62,
NEWBERG,Bruins,GFU,Northwest,http://a.espncdn.com/i/teamlogos/ncaa/500/415.png,#002d62,
Newberry,Wolves,NBY,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2444.png,#d02030,
New England College,Pilgrims,NEW,,,#null,
New Hampshire,Wildcats,UNH,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/160.png,#004990,
New Haven,Chargers,NHVN,NEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2441.png,#null,
New Mexico,Lobos,UNM,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,#BA0C2F,
New Mexico Highlands,Cowboys,NMH,Rocky Mountain,http://a.espncdn.com/i/teamlogos/ncaa/500/2424.png,#null,
New Mexico Military Institute,,,,,#null,
New Mexico State,Aggies,NMSU,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,#891216,
Nicholls,Colonels,NICH,Southland,http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,#C41230,
Nichols College,Bison,NICHOLS,Commonwealth Coast,http://a.espncdn.com/i/teamlogos/ncaa/500/2884.png,#007b5f,
Norfolk State,Spartans,NORF,MEAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2450.png,#0c8968,
NORTH,All-Stars,NOR,,,#000000,
North Alabama,Lions,UNA,UAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png,#null,
North American University,Stallions,NAMERICAN,,,#null,
North Carolina,Tar Heels,UNC,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,#7bafd4,
North Carolina A&T,Aggies,NCAT,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,#0505aa,
