school,mascot,abbreviation,conference,logo,color,alt_color
Apprentice School,Builders,APPRE,Independent DIII,http://a.espncdn.com/i/teamlogos/ncaa/500/3111.png,#null,
App State,Mountaineers,APP,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,#ffcc00,
Arizona,Wildcats,ARIZ,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,#0c234b,
Arizona State,Sun Devils,ASU,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,#8e0c3a,
Arkansas,Razorbacks,ARK,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,#a41f35,
Arkansas-Monticello,Boll Weevils,ARKMONT,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/2028.png,#null,
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,#e0aa0f,
Arkansas State,Red Wolves,ARST,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,#e81018,
Arkansas Tech,Wonder Boys,ARKTECH,Great American,http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png,#null,
Army,Black Knights,ARMY,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,#ce9c00,
Ashland,Eagles,ASH,Great Midwest Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/308.png,#null,
Ashland University,,,,,#null,
Assumption,Greyhounds,ASP,Northeast 10,http://a.espncdn.com/i/teamlogos/ncaa/500/2038.png,#null,
Auburn,Tigers,AUB,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,#002b5c,
Augsburg,Auggies,AUG,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/124.png,#74233d,
Augustana,,,,,#null,
Augustana (IL),Vikings,AUGIL,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/2042.png,#null,
Augustana University (SD),Vikings,AUSD,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/2043.png,#null,
Aurora,Spartans,AUR,NACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2044.png,#00549f,
Aurora University,,,,,#null,
Austin,'Roos,AUS,Southern Collegiate Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2045.png,#null,
Austin Peay,Governors,APSU,UAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2046.png,#8e0b0b,
Ave Maria University,Gyrenes,AVE M,,http://a.espncdn.com/i/teamlogos/ncaa/500/3178.png,#null,
Averett,Cougars,AVE,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/2047.png,#012853,
Avila University,Eagles,AVILA,,http://a.espncdn.com/i/teamlogos/ncaa/500/2048.png,#null,
Azusa Pacific,Cougars,AZU,Great Northwest,http://a.espncdn.com/i/teamlogos/ncaa/500/2049.png,#000000,
Bacone College,Warriors,BKN,,http://a.espncdn.com/i/teamlogos/ncaa/500/487.png,#null,
Baker University,Baker,BAK,,http://a.espncdn.com/i/teamlogos/ncaa/500/488.png,#null,
Baldwin Wallace,Yellow Jackets,BAL,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/188.png,#null,
Ball State,Cardinals,BALL,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,#DA0000,
Barton C.C.,,,,,#null,
Bates,Bobcats,BAT,NESCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/121.png,#a51e36,
Baylor,Bears,BAY,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,#154734,
Becker College,Hawks,BEC,,http://a.espncdn.com/i/teamlogos/ncaa/500/479.png,#000000,
Beloit,Buccaneers,BEL,Midwest,http://a.espncdn.com/i/teamlogos/ncaa/500/266.png,#null,
Bemidji State,Beavers,BST,Northern Sun,http://a.espncdn.com/i/teamlogos/ncaa/500/132.png,#null,
Benedict College,Tigers,BEN,SIAC,http://a.espncdn.com/i/teamlogos/ncaa/500/490.png,#null,
Benedictine College,Ravens,BENC,,http://a.espncdn.com/i/teamlogos/ncaa/500/16111.png,#null,
Benedictine University,Eagles,BENILL,NACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2283.png,#null,
Bentley,Falcons,BENT,Northeast 10,http://a.espncdn.com/i/teamlogos/ncaa/500/2060.png,#null,
Berry College,Vikings,BER,Southern Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2757.png,#null,
Bethany Co,Bethany Co,,,,#null,
Bethany (KS),Bethany (Ks),BETHA,,http://a.espncdn.com/i/teamlogos/ncaa/500/492.png,#null,
Bethany (WV),Bison,BETHWV,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/2062.png,#null,
Bethel Col,Bethel Col,,,,#null,
Bethel (MN),Royals,BET,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/2802.png,#002d62,
Bethel University Tennessee,Wildcats,BETHTN,,http://a.espncdn.com/i/teamlogos/ncaa/500/2064.png,#null,
Bethune-Cookman,Wildcats,BCU,SWAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png,#7b1831,
Biddeford,Nor'easters,NWENG,Commonwealth Coast,,#null,
Birmingham-Southern,Panthers,BIR,Southern Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/3.png,#000000,
Blackburn,Beavers,BLA,,http://a.espncdn.com/i/teamlogos/ncaa/500/2070.png,#000000,
Black Hills State,Yellow Jackets,BHST,Rocky Mountain,http://a.espncdn.com/i/teamlogos/ncaa/500/2069.png,#null,
Blinn College,,,,,#null,
Blinn College,,,,,#null,
Blinn College,,,,,#null,
Blinn College,,,,,#null,
Bloomsburg,Huskies,BLMSB,Pennsylvania State Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2071.png,#null,
BLUEFIELD,Ramblin' Rams,BLU,,http://a.espncdn.com/i/teamlogos/ncaa/500/495.png,#null,
Bluefield State,Big Blue,BLU,CIAA,,#null,
Bluffton,Beavers,BLUFFTON,Heartland,http://a.espncdn.com/i/teamlogos/ncaa/500/2074.png,#46166a,
Boise State,Broncos,BOIS,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,#0033a0,
Boston College,Eagles,BC,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,#8c2232,
Bowdoin,Polar Bears,BOW,NESCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/340.png,#ffffff,
Bowie State,Bulldogs,BSU,CIAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2075.png,#null,
Bowling Green,Falcons,BGSU,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,#2b1000,
Brevard College,Tornados,BRE,USA South,http://a.espncdn.com/i/teamlogos/ncaa/500/2913.png,#null,
Bridgewater State,Bears,BRST,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/18.png,#bf2f38,
Bridgewater (VA),Eagles,BRVA,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/2079.png,#990022,
British Columbia,British Col,BBM,,http://a.espncdn.com/i/teamlogos/ncaa/500/2080.png,#null,
Brockport,Golden Eagles,BRO,Empire 8,http://a.espncdn.com/i/teamlogos/ncaa/500/2781.png,#null,
Brown,Bears,BRWN,Ivy,http://a.espncdn.com/i/teamlogos/ncaa/500/225.png,#411e09,
Bryant,Bulldogs,BRY,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,#null,
Bucknell,Bison,BUCK,Patriot,http://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,#000060,
Buena Vista,Beavers,BUENA,American Rivers,http://a.espncdn.com/i/teamlogos/ncaa/500/63.png,#feba12,
Buffalo,Bulls,BUF,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,#041A9B,
Buffalo State,Bengals,BUF,Liberty League,http://a.espncdn.com/i/teamlogos/ncaa/500/2085.png,#null,
Butler,Bulldogs,BUT,Pioneer,http://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,#0d1361,
Butler C.C.,,,,,#null,
Butler C.C.,,,,,#null,
Butler C.C.,,,,,#null,
Butler County (KS),,,,,#null,
BYU,Cougars,BYU,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,#003da5,
California,Golden Bears,CAL,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png,#031522,
California Lutheran University,Kingsmen,CALLUTH,So. Cal.,http://a.espncdn.com/i/teamlogos/ncaa/500/2094.png,#3b2361,
"California, Pa.",,,,,#null,
Cal Poly,Mustangs,CP,Big Sky,http://a.espncdn.com/i/teamlogos/ncaa/500/13.png,#1E4D2B,
Calvin University,Knights,CAL,Michigan,,#null,
Campbell,Fighting Camels,CAM,CAA,http://a.espncdn.com/i/teamlogos/ncaa/500/2097.png,#null,
Campbellsville,,,,,#null,
Campbellsville University,Tigers,CMPBVIL,,,#null,
Capital,Comets,CAPITAL,Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/424.png,#null,
Carleton,Knights,CARLETON,Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/2101.png,#173a79,
Carnegie Mellon,Tartans,CARM,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/2102.png,#null,
Carroll College,,,,,#null,
Carroll University (WI),Pioneers,CAR,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/32.png,#null,
Carson-Newman College,Eagles,CAR,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2105.png,#f2682a,
Carthage,Firebirds,CARCWI,CCIW,http://a.espncdn.com/i/teamlogos/ncaa/500/2106.png,#null,
Case Western Reserve,Spartans,CSR,Presidents',http://a.espncdn.com/i/teamlogos/ncaa/500/2963.png,#null,
Castleton,Spartans,CAS,MSCAC,http://a.espncdn.com/i/teamlogos/ncaa/500/293.png,#null,
Catawba,Indians,CAT,South Atlantic,http://a.espncdn.com/i/teamlogos/ncaa/500/2107.png,#0c233f,
Catholic,Cardinals,CATH,Landmark Conference,http://a.espncdn.com/i/teamlogos/ncaa/500/2108.png,#null,
CENTENARY,Gentlemen,CEN,Southern Collegiate Athletic,,#null,
Central Arkansas,Bears,CARK,UAC,http://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,#a7a9ac,
Central College,Dutch,CNTCIA,American Rivers,http://a.espncdn.com/i/teamlogos/ncaa/500/2964.png,#ea0029,
Central Connecticut,Blue Devils,CCSU,NEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png,#1B49A2,
Central Methodist,Eagles,CDF,,http://a.espncdn.com/i/teamlogos/ncaa/500/2860.png,#null,
