year,week,homeTeam,awayTeam,lines
2025,4,Nebraska,Michigan,"[{'provider': 'DraftKings', 'spread': 3.5, 'formattedSpread': 'Michigan -3.5', 'spreadOpen': 3.5, 'overUnder': None, 'overUnderOpen': None, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'ESPN Bet', 'spread': 3, 'formattedSpread': 'Michigan -3', 'spreadOpen': 3, 'overUnder': 44.5, 'overUnderOpen': 44.5, 'homeMoneyline': 135, 'awayMoneyline': -155}]"
2025,4,Washington State,Washington,"[{'provider': 'DraftKings', 'spread': 12.5, 'formattedSpread': 'Washington -12.5', 'spreadOpen': 12.5, 'overUnder': None, 'overUnderOpen': None, 'homeMoneyline': None, 'awayMoneyline': None}]"
2025,5,Washington,Ohio State,"[{'provider': 'DraftKings', 'spread': 13.5, 'formattedSpread': 'Ohio State -13.5', 'spreadOpen': 13.5, 'overUnder': None, 'overUnderOpen': None, 'homeMoneyline': None, 'awayMoneyline': None}]"
2025,5,Ole Miss,LSU,"[{'provider': 'DraftKings', 'spread': 2.5, 'formattedSpread': 'LSU -2.5', 'spreadOpen': 2.5, 'overUnder': None, 'overUnderOpen': None, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'ESPN Bet', 'spread': 2, 'formattedSpread': 'LSU -2', 'spreadOpen': 2, 'overUnder': 56.5, 'overUnderOpen': 56.5, 'homeMoneyline': 110, 'awayMoneyline': -130}]"
2025,5,Arkansas,Notre Dame,"[{'provider': 'DraftKings', 'spread': 10.5, 'formattedSpread': 'Notre Dame -10.5', 'spreadOpen': 10.5, 'overUnder': None, 'overUnderOpen': None, 'homeMoneyline': None, 'awayMoneyline': None}]"
2025,1,Kansas,Fresno State,"[{'provider': 'DraftKings', 'spread': -14, 'formattedSpread': 'Kansas -14', 'spreadOpen': -14, 'overUnder': 51.5, 'overUnderOpen': 51.5, 'homeMoneyline': -550, 'awayMoneyline': 410}, {'provider': 'ESPN Bet', 'spread': -14.5, 'formattedSpread': 'Kansas -14.5', 'spreadOpen': -13.5, 'overUnder': 50.5, 'overUnderOpen': 51.5, 'homeMoneyline': -650, 'awayMoneyline': 425}, {'provider': 'Bovada', 'spread': -14, 'formattedSpread': 'Kansas -14.0', 'spreadOpen': -14.5, 'overUnder': 50, 'overUnderOpen': 51.5, 'homeMoneyline': -575, 'awayMoneyline': 400}]"
2025,1,Western Kentucky,Sam Houston,"[{'provider': 'DraftKings', 'spread': -9.5, 'formattedSpread': 'Western Kentucky -9.5', 'spreadOpen': -9.5, 'overUnder': 60.5, 'overUnderOpen': 60.5, 'homeMoneyline': -360, 'awayMoneyline': 285}, {'provider': 'ESPN Bet', 'spread': -10.5, 'formattedSpread': 'Western Kentucky -10.5', 'spreadOpen': -9.5, 'overUnder': 60.5, 'overUnderOpen': 61.5, 'homeMoneyline': -400, 'awayMoneyline': 300}, {'provider': 'Bovada', 'spread': -9.5, 'formattedSpread': 'Western Kentucky -9.5', 'spreadOpen': -7, 'overUnder': 60, 'overUnderOpen': 61.5, 'homeMoneyline': -390, 'awayMoneyline': 295}]"
2025,1,Hawai'i,Stanford,"[{'provider': 'DraftKings', 'spread': -1.5, 'formattedSpread': ""Hawai'i -1.5"", 'spreadOpen': -1.5, 'overUnder': 53.5, 'overUnderOpen': 53.5, 'homeMoneyline': -118, 'awayMoneyline': -102}, {'provider': 'ESPN Bet', 'spread': -1.5, 'formattedSpread': ""Hawai'i -1.5"", 'spreadOpen': -1.5, 'overUnder': 50.5, 'overUnderOpen': 53.5, 'homeMoneyline': -120, 'awayMoneyline': 110}, {'provider': 'Bovada', 'spread': -2, 'formattedSpread': ""Hawai'i -2.0"", 'spreadOpen': 2.5, 'overUnder': 50, 'overUnderOpen': 55.5, 'homeMoneyline': 115, 'awayMoneyline': -135}]"
2025,1,South Florida,Boise State,"[{'provider': 'DraftKings', 'spread': 8.5, 'formattedSpread': 'Boise State -8.5', 'spreadOpen': 8.5, 'overUnder': 63.5, 'overUnderOpen': 63.5, 'homeMoneyline': 250, 'awayMoneyline': -310}, {'provider': 'ESPN Bet', 'spread': 5.5, 'formattedSpread': 'Boise State -5.5', 'spreadOpen': 8.5, 'overUnder': 60.5, 'overUnderOpen': 63.5, 'homeMoneyline': 175, 'awayMoneyline': -210}, {'provider': 'Bovada', 'spread': 4.5, 'formattedSpread': 'Boise State -4.5', 'spreadOpen': 9.5, 'overUnder': 62, 'overUnderOpen': 63.5, 'homeMoneyline': 240, 'awayMoneyline': -290}]"
2025,1,Rutgers,Ohio,"[{'provider': 'DraftKings', 'spread': -11.5, 'formattedSpread': 'Rutgers -11.5', 'spreadOpen': -11.5, 'overUnder': 46.5, 'overUnderOpen': 46.5, 'homeMoneyline': -455, 'awayMoneyline': 350}, {'provider': 'ESPN Bet', 'spread': -15.5, 'formattedSpread': 'Rutgers -15.5', 'spreadOpen': -11.5, 'overUnder': 53.5, 'overUnderOpen': 46.5, 'homeMoneyline': -750, 'awayMoneyline': 475}, {'provider': 'Bovada', 'spread': -15.5, 'formattedSpread': 'Rutgers -15.5', 'spreadOpen': -10.5, 'overUnder': 52, 'overUnderOpen': 47.5, 'homeMoneyline': -510, 'awayMoneyline': 370}]"
