year,week,homeTeam,awayTeam,lines
2025,1,UCF,Jacksonville State,"[{'provider': 'DraftKings', 'spread': -16.5, 'formattedSpread': 'UCF -16.5', 'spreadOpen': -16.5, 'overUnder': 53.5, 'overUnderOpen': 53.5, 'homeMoneyline': -750, 'awayMoneyline': 525}, {'provider': 'ESPN Bet', 'spread': -20.5, 'formattedSpread': 'UCF -20.5', 'spreadOpen': -16.5, 'overUnder': 52.5, 'overUnderOpen': 53.5, 'homeMoneyline': -1800, 'awayMoneyline': 900}, {'provider': 'Bovada', 'spread': -20.5, 'formattedSpread': 'UCF -20.5', 'spreadOpen': -16.5, 'overUnder': 52.5, 'overUnderOpen': 56.5, 'homeMoneyline': -800, 'awayMoneyline': 525}]"
2025,1,NC State,East Carolina,"[{'provider': 'DraftKings', 'spread': -12.5, 'formattedSpread': 'NC State -12.5', 'spreadOpen': -12.5, 'overUnder': 58.5, 'overUnderOpen': 58.5, 'homeMoneyline': -440, 'awayMoneyline': 340}, {'provider': 'ESPN Bet', 'spread': -13.5, 'formattedSpread': 'NC State -13.5', 'spreadOpen': -12.5, 'overUnder': 61.5, 'overUnderOpen': 58.5, 'homeMoneyline': -650, 'awayMoneyline': 425}, {'provider': 'Bovada', 'spread': -14, 'formattedSpread': 'NC State -14.0', 'spreadOpen': -14, 'overUnder': 61, 'overUnderOpen': 56.5, 'homeMoneyline': -435, 'awayMoneyline': 325}]"
2025,1,Akron,Wyoming,"[{'provider': 'DraftKings', 'spread': 8.5, 'formattedSpread': 'Wyoming -8.5', 'spreadOpen': 8.5, 'overUnder': 49.5, 'overUnderOpen': 49.5, 'homeMoneyline': 260, 'awayMoneyline': -325}, {'provider': 'ESPN Bet', 'spread': 4.5, 'formattedSpread': 'Wyoming -4.5', 'spreadOpen': 7.5, 'overUnder': 47.5, 'overUnderOpen': 49.5, 'homeMoneyline': 170, 'awayMoneyline': -200}, {'provider': 'Bovada', 'spread': 5, 'formattedSpread': 'Wyoming -5.0', 'spreadOpen': 9.5, 'overUnder': 48, 'overUnderOpen': 49.5, 'homeMoneyline': 250, 'awayMoneyline': -300}]"
2025,1,Minnesota,Buffalo,"[{'provider': 'DraftKings', 'spread': -16.5, 'formattedSpread': 'Minnesota -16.5', 'spreadOpen': -16.5, 'overUnder': 45.5, 'overUnderOpen': 45.5, 'homeMoneyline': -900, 'awayMoneyline': 600}, {'provider': 'ESPN Bet', 'spread': -16.5, 'formattedSpread': 'Minnesota -16.5', 'spreadOpen': -17, 'overUnder': 41.5, 'overUnderOpen': 45.5, 'homeMoneyline': -900, 'awayMoneyline': 550}, {'provider': 'Bovada', 'spread': -18.5, 'formattedSpread': 'Minnesota -18.5', 'spreadOpen': -18.5, 'overUnder': 43, 'overUnderOpen': 45.5, 'homeMoneyline': -900, 'awayMoneyline': 575}]"
2025,1,Wisconsin,Miami (OH),"[{'provider': 'DraftKings', 'spread': -17.5, 'formattedSpread': 'Wisconsin -17.5', 'spreadOpen': -17.5, 'overUnder': 40.5, 'overUnderOpen': 40.5, 'homeMoneyline': -1100, 'awayMoneyline': 700}, {'provider': 'ESPN Bet', 'spread': -18.5, 'formattedSpread': 'Wisconsin -18.5', 'spreadOpen': -17.5, 'overUnder': 41.5, 'overUnderOpen': 40.5, 'homeMoneyline': -1400, 'awayMoneyline': 750}, {'provider': 'Bovada', 'spread': -18, 'formattedSpread': 'Wisconsin -18.0', 'spreadOpen': -17.5, 'overUnder': 41, 'overUnderOpen': 41.5, 'homeMoneyline': -1200, 'awayMoneyline': 700}]"
2025,1,Cincinnati,Nebraska,"[{'provider': 'DraftKings', 'spread': 6.5, 'formattedSpread': 'Nebraska -6.5', 'spreadOpen': 6.5, 'overUnder': 52.5, 'overUnderOpen': 52.5, 'homeMoneyline': 220, 'awayMoneyline': -270}, {'provider': 'ESPN Bet', 'spread': 5.5, 'formattedSpread': 'Nebraska -5.5', 'spreadOpen': 7, 'overUnder': 50.5, 'overUnderOpen': 52.5, 'homeMoneyline': 195, 'awayMoneyline': -230}, {'provider': 'Bovada', 'spread': 6, 'formattedSpread': 'Nebraska -6.0', 'spreadOpen': 6.5, 'overUnder': 50.5, 'overUnderOpen': 50.5, 'homeMoneyline': 210, 'awayMoneyline': -250}]"
2025,1,Michigan State,Western Michigan,"[{'provider': 'DraftKings', 'spread': -18.5, 'formattedSpread': 'Michigan State -18.5', 'spreadOpen': -18.5, 'overUnder': 49.5, 'overUnderOpen': 49.5, 'homeMoneyline': -950, 'awayMoneyline': 625}, {'provider': 'ESPN Bet', 'spread': -22.5, 'formattedSpread': 'Michigan State -22.5', 'spreadOpen': -18.5, 'overUnder': 50.5, 'overUnderOpen': 49.5, 'homeMoneyline': -2000, 'awayMoneyline': 1000}, {'provider': 'Bovada', 'spread': -21.5, 'formattedSpread': 'Michigan State -21.5', 'spreadOpen': -17.5, 'overUnder': 50, 'overUnderOpen': 49.5, 'homeMoneyline': -1600, 'awayMoneyline': 800}]"
2025,1,Wake Forest,Kennesaw State,"[{'provider': 'DraftKings', 'spread': -17.5, 'formattedSpread': 'Wake Forest -17.5', 'spreadOpen': -17.5, 'overUnder': 51.5, 'overUnderOpen': 51.5, 'homeMoneyline': -1000, 'awayMoneyline': 650}, {'provider': 'ESPN Bet', 'spread': -18.5, 'formattedSpread': 'Wake Forest -18.5', 'spreadOpen': -18, 'overUnder': 50.5, 'overUnderOpen': 51.5, 'homeMoneyline': -1200, 'awayMoneyline': 700}, {'provider': 'Bovada', 'spread': -18.5, 'formattedSpread': 'Wake Forest -18.5', 'spreadOpen': -17.5, 'overUnder': 50.5, 'overUnderOpen': 53.5, 'homeMoneyline': -1200, 'awayMoneyline': 700}]"
2025,1,Charlotte,App State,"[{'provider': 'DraftKings', 'spread': 8.5, 'formattedSpread': 'App State -8.5', 'spreadOpen': 8.5, 'overUnder': 53.5, 'overUnderOpen': 53.5, 'homeMoneyline': 260, 'awayMoneyline': -325}, {'provider': 'ESPN Bet', 'spread': 2.5, 'formattedSpread': 'App State -2.5', 'spreadOpen': 8, 'overUnder': 48.5, 'overUnderOpen': 53.5, 'homeMoneyline': 135, 'awayMoneyline': -155}, {'provider': 'Bovada', 'spread': 3, 'formattedSpread': 'App State -3.0', 'spreadOpen': 8.5, 'overUnder': 49, 'overUnderOpen': 53.5, 'homeMoneyline': 250, 'awayMoneyline': -300}]"
2025,1,Colorado,Georgia Tech,"[{'provider': 'DraftKings', 'spread': 4, 'formattedSpread': 'Georgia Tech -4', 'spreadOpen': 4, 'overUnder': 55.5, 'overUnderOpen': 55.5, 'homeMoneyline': 160, 'awayMoneyline': -192}, {'provider': 'ESPN Bet', 'spread': 3.5, 'formattedSpread': 'Georgia Tech -3.5', 'spreadOpen': 4, 'overUnder': 51.5, 'overUnderOpen': 55.5, 'homeMoneyline': 155, 'awayMoneyline': -185}, {'provider': 'Bovada', 'spread': 3.5, 'formattedSpread': 'Georgia Tech -3.5', 'spreadOpen': 3.5, 'overUnder': 51.5, 'overUnderOpen': 57.5, 'homeMoneyline': 150, 'awayMoneyline': -175}]"
2025,1,Baylor,Auburn,"[{'provider': 'DraftKings', 'spread': 1.5, 'formattedSpread': 'Auburn -1.5', 'spreadOpen': 1.5, 'overUnder': 57.5, 'overUnderOpen': 57.5, 'homeMoneyline': -105, 'awayMoneyline': -115}, {'provider': 'ESPN Bet', 'spread': 1.5, 'formattedSpread': 'Auburn -1.5', 'spreadOpen': 1, 'overUnder': 57.5, 'overUnderOpen': 57.5, 'homeMoneyline': -105, 'awayMoneyline': -115}, {'provider': 'Bovada', 'spread': 1, 'formattedSpread': 'Auburn -1.0', 'spreadOpen': 1.5, 'overUnder': 57, 'overUnderOpen': 56.5, 'homeMoneyline': -110, 'awayMoneyline': -110}]"
2025,1,Sam Houston,UNLV,"[{'provider': 'DraftKings', 'spread': 13.5, 'formattedSpread': 'UNLV -13.5', 'spreadOpen': 13.5, 'overUnder': 58.5, 'overUnderOpen': 58.5, 'homeMoneyline': 380, 'awayMoneyline': -500}, {'provider': 'ESPN Bet', 'spread': 8.5, 'formattedSpread': 'UNLV -8.5', 'spreadOpen': 13, 'overUnder': 61.5, 'overUnderOpen': 58.5, 'homeMoneyline': 260, 'awayMoneyline': -320}, {'provider': 'Bovada', 'spread': 9, 'formattedSpread': 'UNLV -9.0', 'spreadOpen': 13.5, 'overUnder': 61.5, 'overUnderOpen': 58.5, 'homeMoneyline': 370, 'awayMoneyline': -510}]"
2025,1,San José State,Central Michigan,"[{'provider': 'DraftKings', 'spread': -11.5, 'formattedSpread': 'San José State -11.5', 'spreadOpen': -11.5, 'overUnder': 50.5, 'overUnderOpen': 50.5, 'homeMoneyline': -425, 'awayMoneyline': 330}, {'provider': 'ESPN Bet', 'spread': -13.5, 'formattedSpread': 'San José State -13.5', 'spreadOpen': -11.5, 'overUnder': 52.5, 'overUnderOpen': 50.5, 'homeMoneyline': -600, 'awayMoneyline': 400}, {'provider': 'Bovada', 'spread': -14, 'formattedSpread': 'San José State -14.0', 'spreadOpen': -10.5, 'overUnder': 52, 'overUnderOpen': 51, 'homeMoneyline': -460, 'awayMoneyline': 340}]"
2025,1,Purdue,Ball State,"[{'provider': 'DraftKings', 'spread': -16.5, 'formattedSpread': 'Purdue -16.5', 'spreadOpen': -16.5, 'overUnder': 50.5, 'overUnderOpen': 50.5, 'homeMoneyline': -850, 'awayMoneyline': 575}, {'provider': 'ESPN Bet', 'spread': -16.5, 'formattedSpread': 'Purdue -16.5', 'spreadOpen': -17, 'overUnder': 49.5, 'overUnderOpen': 50.5, 'homeMoneyline': -900, 'awayMoneyline': 550}, {'provider': 'Bovada', 'spread': -17, 'formattedSpread': 'Purdue -17.0', 'spreadOpen': -16.5, 'overUnder': 49.5, 'overUnderOpen': 50.5, 'homeMoneyline': -900, 'awayMoneyline': 575}]"
2025,1,Maryland,Florida Atlantic,"[{'provider': 'DraftKings', 'spread': -16.5, 'formattedSpread': 'Maryland -16.5', 'spreadOpen': -16.5, 'overUnder': 57.5, 'overUnderOpen': 57.5, 'homeMoneyline': -700, 'awayMoneyline': 500}, {'provider': 'ESPN Bet', 'spread': -14.5, 'formattedSpread': 'Maryland -14.5', 'spreadOpen': -16.5, 'overUnder': 61.5, 'overUnderOpen': 57.5, 'homeMoneyline': -700, 'awayMoneyline': 450}, {'provider': 'Bovada', 'spread': -14, 'formattedSpread': 'Maryland -14.0', 'spreadOpen': -17.5, 'overUnder': 61, 'overUnderOpen': 57.5, 'homeMoneyline': -850, 'awayMoneyline': 550}]"
2025,1,Southern Miss,Mississippi State,"[{'provider': 'DraftKings', 'spread': 11.5, 'formattedSpread': 'Mississippi State -11.5', 'spreadOpen': 11.5, 'overUnder': 59.5, 'overUnderOpen': 59.5, 'homeMoneyline': 340, 'awayMoneyline': -440}, {'provider': 'ESPN Bet', 'spread': 13.5, 'formattedSpread': 'Mississippi State -13.5', 'spreadOpen': 12.5, 'overUnder': 61.5, 'overUnderOpen': 59.5, 'homeMoneyline': 400, 'awayMoneyline': -600}, {'provider': 'Bovada', 'spread': 14, 'formattedSpread': 'Mississippi State -14.0', 'spreadOpen': 15.5, 'overUnder': 61, 'overUnderOpen': 57.5, 'homeMoneyline': 305, 'awayMoneyline': -410}]"
2025,1,Tulane,Northwestern,"[{'provider': 'DraftKings', 'spread': -6.5, 'formattedSpread': 'Tulane -6.5', 'spreadOpen': -6.5, 'overUnder': 47.5, 'overUnderOpen': 47.5, 'homeMoneyline': -245, 'awayMoneyline': 200}, {'provider': 'ESPN Bet', 'spread': -4.5, 'formattedSpread': 'Tulane -4.5', 'spreadOpen': -6.5, 'overUnder': 45.5, 'overUnderOpen': 46.5, 'homeMoneyline': -190, 'awayMoneyline': 160}, {'provider': 'Bovada', 'spread': -5, 'formattedSpread': 'Tulane -5.0', 'spreadOpen': -7.5, 'overUnder': 46.5, 'overUnderOpen': 47.5, 'homeMoneyline': -230, 'awayMoneyline': 190}]"
2025,1,Kentucky,Toledo,"[{'provider': 'DraftKings', 'spread': -10, 'formattedSpread': 'Kentucky -10', 'spreadOpen': -10, 'overUnder': 48.5, 'overUnderOpen': 48.5, 'homeMoneyline': -345, 'awayMoneyline': 275}, {'provider': 'ESPN Bet', 'spread': -10.5, 'formattedSpread': 'Kentucky -10.5', 'spreadOpen': -9.5, 'overUnder': 48.5, 'overUnderOpen': 48.5, 'homeMoneyline': -360, 'awayMoneyline': 280}, {'provider': 'Bovada', 'spread': -10, 'formattedSpread': 'Kentucky -10.0', 'spreadOpen': -12.5, 'overUnder': 48.5, 'overUnderOpen': 48.5, 'homeMoneyline': -350, 'awayMoneyline': 275}]"
2025,1,Indiana,Old Dominion,"[{'provider': 'DraftKings', 'spread': -23.5, 'formattedSpread': 'Indiana -23.5', 'spreadOpen': -23.5, 'overUnder': 54.5, 'overUnderOpen': 54.5, 'homeMoneyline': -2400, 'awayMoneyline': 1200}, {'provider': 'ESPN Bet', 'spread': -24.5, 'formattedSpread': 'Indiana -24.5', 'spreadOpen': -23.5, 'overUnder': 53.5, 'overUnderOpen': 54.5, 'homeMoneyline': -4000, 'awayMoneyline': 1300}, {'provider': 'Bovada', 'spread': -24, 'formattedSpread': 'Indiana -24.0', 'spreadOpen': -23.5, 'overUnder': 53.5, 'overUnderOpen': 54.5, 'homeMoneyline': -3300, 'awayMoneyline': 1100}]"
2025,1,Florida State,Alabama,"[{'provider': 'DraftKings', 'spread': 13.5, 'formattedSpread': 'Alabama -13.5', 'spreadOpen': 13.5, 'overUnder': 50.5, 'overUnderOpen': 50.5, 'homeMoneyline': 380, 'awayMoneyline': -500}, {'provider': 'ESPN Bet', 'spread': 14.5, 'formattedSpread': 'Alabama -14.5', 'spreadOpen': 13.5, 'overUnder': 48.5, 'overUnderOpen': 50.5, 'homeMoneyline': 450, 'awayMoneyline': -700}, {'provider': 'Bovada', 'spread': 14, 'formattedSpread': 'Alabama -14.0', 'spreadOpen': 9.5, 'overUnder': 48.5, 'overUnderOpen': 50.5, 'homeMoneyline': 400, 'awayMoneyline': -575}]"
2025,1,Georgia,Marshall,"[{'provider': 'DraftKings', 'spread': -39.5, 'formattedSpread': 'Georgia -39.5', 'spreadOpen': -39.5, 'overUnder': 55.5, 'overUnderOpen': 55.5, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'ESPN Bet', 'spread': -39.5, 'formattedSpread': 'Georgia -39.5', 'spreadOpen': -39.5, 'overUnder': 52.5, 'overUnderOpen': 55.5, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'Bovada', 'spread': -38.5, 'formattedSpread': 'Georgia -38.5', 'spreadOpen': -38.5, 'overUnder': 52.5, 'overUnderOpen': 55.5, 'homeMoneyline': None, 'awayMoneyline': None}]"
2025,1,Penn State,Nevada,"[{'provider': 'DraftKings', 'spread': -45.5, 'formattedSpread': 'Penn State -45.5', 'spreadOpen': -45.5, 'overUnder': 58.5, 'overUnderOpen': 58.5, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'ESPN Bet', 'spread': -43.5, 'formattedSpread': 'Penn State -43.5', 'spreadOpen': -45.5, 'overUnder': 54.5, 'overUnderOpen': 58.5, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'Bovada', 'spread': -43.5, 'formattedSpread': 'Penn State -43.5', 'spreadOpen': -43.5, 'overUnder': 55, 'overUnderOpen': 60.5, 'homeMoneyline': None, 'awayMoneyline': None}]"
2025,1,Massachusetts,Temple,"[{'provider': 'DraftKings', 'spread': 3, 'formattedSpread': 'Temple -3', 'spreadOpen': 3, 'overUnder': 51.5, 'overUnderOpen': 51.5, 'homeMoneyline': 124, 'awayMoneyline': -148}, {'provider': 'ESPN Bet', 'spread': 2.5, 'formattedSpread': 'Temple -2.5', 'spreadOpen': 3, 'overUnder': 48.5, 'overUnderOpen': 51.5, 'homeMoneyline': 110, 'awayMoneyline': -130}, {'provider': 'Bovada', 'spread': 2, 'formattedSpread': 'Temple -2.0', 'spreadOpen': -1.5, 'overUnder': 48.5, 'overUnderOpen': 52.5, 'homeMoneyline': 140, 'awayMoneyline': -165}]"
2025,1,Virginia,Coastal Carolina,"[{'provider': 'DraftKings', 'spread': -12.5, 'formattedSpread': 'Virginia -12.5', 'spreadOpen': -12.5, 'overUnder': 57.5, 'overUnderOpen': 57.5, 'homeMoneyline': -470, 'awayMoneyline': 360}, {'provider': 'ESPN Bet', 'spread': -14.5, 'formattedSpread': 'Virginia -14.5', 'spreadOpen': -12.5, 'overUnder': 57.5, 'overUnderOpen': 57.5, 'homeMoneyline': -600, 'awayMoneyline': 400}, {'provider': 'Bovada', 'spread': -14, 'formattedSpread': 'Virginia -14.0', 'spreadOpen': -12.5, 'overUnder': 57.5, 'overUnderOpen': 57.5, 'homeMoneyline': -470, 'awayMoneyline': 345}]"
2025,1,Texas A&M,UTSA,"[{'provider': 'DraftKings', 'spread': -21.5, 'formattedSpread': 'Texas A&M -21.5', 'spreadOpen': -21.5, 'overUnder': 56.5, 'overUnderOpen': 56.5, 'homeMoneyline': -1650, 'awayMoneyline': 950}, {'provider': 'ESPN Bet', 'spread': -22.5, 'formattedSpread': 'Texas A&M -22.5', 'spreadOpen': -21.5, 'overUnder': 57.5, 'overUnderOpen': None, 'homeMoneyline': -2500, 'awayMoneyline': 1100}, {'provider': 'Bovada', 'spread': -23.5, 'formattedSpread': 'Texas A&M -23.5', 'spreadOpen': -21, 'overUnder': 57, 'overUnderOpen': 56.5, 'homeMoneyline': -2800, 'awayMoneyline': 1100}]"
2025,1,Clemson,LSU,"[{'provider': 'DraftKings', 'spread': -3.5, 'formattedSpread': 'Clemson -3.5', 'spreadOpen': -3.5, 'overUnder': 57.5, 'overUnderOpen': 57.5, 'homeMoneyline': -170, 'awayMoneyline': 142}, {'provider': 'ESPN Bet', 'spread': -4.5, 'formattedSpread': 'Clemson -4.5', 'spreadOpen': -3.5, 'overUnder': 57.5, 'overUnderOpen': 57.5, 'homeMoneyline': -200, 'awayMoneyline': 170}, {'provider': 'Bovada', 'spread': -4, 'formattedSpread': 'Clemson -4.0', 'spreadOpen': -2.5, 'overUnder': 57.5, 'overUnderOpen': 56.5, 'homeMoneyline': -150, 'awayMoneyline': 130}]"
2025,1,Michigan,New Mexico,"[{'provider': 'DraftKings', 'spread': -36.5, 'formattedSpread': 'Michigan -36.5', 'spreadOpen': -36.5, 'overUnder': 52.5, 'overUnderOpen': 52.5, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'ESPN Bet', 'spread': -34.5, 'formattedSpread': 'Michigan -34.5', 'spreadOpen': -36, 'overUnder': 49.5, 'overUnderOpen': 52.5, 'homeMoneyline': -50000, 'awayMoneyline': 3500}, {'provider': 'Bovada', 'spread': -34.5, 'formattedSpread': 'Michigan -34.5', 'spreadOpen': -34.5, 'overUnder': 49, 'overUnderOpen': 52.5, 'homeMoneyline': None, 'awayMoneyline': None}]"
2025,1,USC,Missouri State,"[{'provider': 'DraftKings', 'spread': -34.5, 'formattedSpread': 'USC -34.5', 'spreadOpen': -34.5, 'overUnder': 59.5, 'overUnderOpen': 59.5, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'ESPN Bet', 'spread': -36.5, 'formattedSpread': 'USC -36.5', 'spreadOpen': -35.5, 'overUnder': 59.5, 'overUnderOpen': 58.5, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'Bovada', 'spread': -35.5, 'formattedSpread': 'USC -35.5', 'spreadOpen': -31.5, 'overUnder': 60, 'overUnderOpen': 59.5, 'homeMoneyline': None, 'awayMoneyline': None}]"
2025,1,Utah State,UTEP,"[{'provider': 'DraftKings', 'spread': -3.5, 'formattedSpread': 'Utah State -3.5', 'spreadOpen': -3.5, 'overUnder': 59.5, 'overUnderOpen': 59.5, 'homeMoneyline': -180, 'awayMoneyline': 150}, {'provider': 'ESPN Bet', 'spread': -5.5, 'formattedSpread': 'Utah State -5.5', 'spreadOpen': -3.5, 'overUnder': 60.5, 'overUnderOpen': 58.5, 'homeMoneyline': -200, 'awayMoneyline': 170}, {'provider': 'Bovada', 'spread': -5.5, 'formattedSpread': 'Utah State -5.5', 'spreadOpen': -3.5, 'overUnder': 60.5, 'overUnderOpen': 59.5, 'homeMoneyline': -165, 'awayMoneyline': 140}]"
2025,1,Ole Miss,Georgia State,"[{'provider': 'DraftKings', 'spread': -38.5, 'formattedSpread': 'Ole Miss -38.5', 'spreadOpen': -38.5, 'overUnder': 62.5, 'overUnderOpen': 62.5, 'homeMoneyline': None, 'awayMoneyline': None}, {'provider': 'ESPN Bet', 'spread': -33.5, 'formattedSpread': 'Ole Miss -33.5', 'spreadOpen': -38.5, 'overUnder': 60.5, 'overUnderOpen': 62.5, 'homeMoneyline': -50000, 'awayMoneyline': 3500}, {'provider': 'Bovada', 'spread': -34.5, 'formattedSpread': 'Ole Miss -34.5', 'spreadOpen': -35.5, 'overUnder': 60.5, 'overUnderOpen': 62.5, 'homeMoneyline': None, 'awayMoneyline': None}]"
2025,1,Louisiana,Rice,"[{'provider': 'DraftKings', 'spread': -14.5, 'formattedSpread': 'Louisiana -14.5', 'spreadOpen': -14.5, 'overUnder': 49.5, 'overUnderOpen': 49.5, 'homeMoneyline': -625, 'awayMoneyline': 455}, {'provider': 'ESPN Bet', 'spread': -10.5, 'formattedSpread': 'Louisiana -10.5', 'spreadOpen': -14, 'overUnder': 48.5, 'overUnderOpen': 49.5, 'homeMoneyline': -425, 'awayMoneyline': 320}, {'provider': 'Bovada', 'spread': -10.5, 'formattedSpread': 'Louisiana -10.5', 'spreadOpen': -14.5, 'overUnder': 47.5, 'overUnderOpen': 51.5, 'homeMoneyline': -600, 'awayMoneyline': 425}]"
2025,1,Texas State,Eastern Michigan,"[{'provider': 'DraftKings', 'spread': -14, 'formattedSpread': 'Texas State -14', 'spreadOpen': -14, 'overUnder': 58.5, 'overUnderOpen': 58.5, 'homeMoneyline': -600, 'awayMoneyline': 440}, {'provider': 'ESPN Bet', 'spread': -13.5, 'formattedSpread': 'Texas State -13.5', 'spreadOpen': -14, 'overUnder': 57.5, 'overUnderOpen': 58.5, 'homeMoneyline': -600, 'awayMoneyline': 400}, {'provider': 'Bovada', 'spread': -14, 'formattedSpread': 'Texas State -14.0', 'spreadOpen': -14.5, 'overUnder': 57.5, 'overUnderOpen': 58.5, 'homeMoneyline': -525, 'awayMoneyline': 375}]"
