team,latitude,longitude,is_indoor
Nicholls,31.5174219,-82.6348602,0
UNLV,36.1052222,-115.1369723,0
Portland State,45.5107011,-122.6843133,0
Kansas,33.9017737,-87.5519582,0
Mercer,47.4905538,-100.7109688,0
Southern,31.9909783,-102.0712974,0
Hawai'i,19.58955475,-155.44869830348483,0
Clarion,42.7317899,-93.7321871,0
Rutgers,40.4867295,-74.4103165,0
Youngstown State,41.106169,-80.6485356,0
Bowling Green,36.9903199,-86.4436018,0
Akron,41.083064,-81.518485,0
Drake,47.924169,-100.372361,0
Delta State,7.1168383,80.6760004,0
Walsh,37.3861271,-102.278239,0
Wilson,35.7212689,-77.9155395,0
Delaware,40.2986724,-83.067965,0
Seton Hill,39.2968576,-76.6237575,0
Samford,36.0742367,-89.914254,0
Duke,43.9956369,17.9960929,0
Quincy,42.2509914,-71.0037374,0
Missouri,44.4262901,-76.4828436,0
Houston,29.7589382,-95.3676974,0
Minnesota,43.8424402,-93.8323837,0
UAB,39.916279900000006,67.95694301714238,0
Cincinnati,39.1014537,-84.5124602,0
Wisconsin,44.811349,-91.4984941,0
Rhode Island,41.5524614,-71.27037832834264,0
Army,10.3675028,22.6115472,0
Marist,14.648323399999999,121.12216446448672,0
Colgate,51.0813587,-0.2436334,0
Charlotte,35.2272086,-80.8430827,0
Wake Forest,35.9803138,-78.5103731,0
Illinois,25.2091807,55.14743258186529,0
Baylor,48.6633585,-106.4794775,0
Colorado,39.579155,-104.8769227,0
Sam Houston,30.325209,-94.8085373,0
Furman,53.1786111,16.5677778,0
Pittsburgh,40.4416941,-79.9900861,0
The Citadel,33.5722089,-112.2012908,0
Lehigh,42.3599729,-94.0521771,0
Syracuse,37.0646139,15.2907196,0
Maryland,42.5364661,-74.8865453,0
Navy,38.8901956,-77.3789218,0
Purdue,40.4647693,-86.9297836,0
Shorter,32.3948615,-85.916902,0
Gannon,32.5567817,-100.4834409,0
Tulane,30.3641267,-81.9434416,0
Kentucky,-30.7589126,151.4509437,0
Davidson,35.4992614,-80.8485218,0
Shaw,53.5818981,-2.1039554,0
West Virginia,47.5156127,-92.5701953,0
Valparaiso,-33.0458456,-71.6196749,0
Fort Lewis,47.1086912,-122.554979,0
Washburn,47.289671,-101.028968,0
Indiana,40.6214551,-79.1525349,0
Louisville,38.2542376,-85.759407,0
Air Force,36.2448129,-115.05680757664634,0
Penn State,40.8025835,-77.85593833184565,0
Georgia,44.72422295,-73.14704151731551,0
Massachusetts,39.775761,-86.14828559204801,0
Iowa State,42.0206764,-93.6367178,0
Florida State,30.244527849999997,-85.55892648302282,0
Liberty,39.246479,-94.419079,0
Oregon,45.4206749,-122.670649,0
Arkansas,39.0745515,-78.7291837,0
Memphis,35.1335022,-89.9668758,0
Pace,48.4454551,-0.0039061,0
Wingate,54.7309409,-1.3810305,0
Chowan,36.266545,-76.6677262,0
Catawba,39.999227,-83.6215913,0
James Madison,43.0794531,-89.3820934,0
Iowa,30.2368772,-93.0137569,0
Virginia,47.52326,-92.536571,0
Oklahoma,40.5814403,-79.5740244,0
Stetson,44.8917325,-69.1428215,0
Sacred Heart,44.786903,-95.3516784,0
West Alabama,43.1260226,-78.4577554,0
South Alabama,43.0736988,-78.3351887,0
Vanderbilt,28.822218,-96.6160175,0
Troy,42.7284117,-73.6917878,0
Florida,28.5421109,-81.3790304,0
Michigan,25.2126277,55.14808203434125,0
Clemson,34.6850749,-82.8364111,0
USC,46.4063747,8.9041135,0
Tulsa,36.1563122,-95.9927436,0
Louisiana,39.4492151,-91.0465742,0
BYU,22.194095150000003,95.93642941245034,0
SMU,50.7030085,28.6367654,0
Oregon State,44.5733789,-123.3048655,0
Arizona,25.20322865,55.14904683352046,0
Washington,38.8950368,-77.0365427,0
South Carolina,6.51328,-10.68245,0
Miami,25.7741728,-80.19362,0
Northwestern,32.0446502,-102.141599,0
New Mexico,25.20150365,55.15160168189528,0
Nevada,37.041058250000006,-3.0399538729953113,0
Texas,-28.853678000000002,151.18683034016186,0
Temple,31.098207,-97.3427847,0
Tennessee,40.4124541,-90.8368406,0
Wyoming,42.9132581,-85.7057035,0
Old Dominion,37.827642,-78.666127,0
Marshall,32.5447756,-94.3661004,0
California,38.628683,-92.5659635,0
Utah,40.8881898,-109.1787333,0
Georgia State,33.7534679,-84.3853243,0
Rice,32.2437586,-96.4985967,0
Auburn,32.6098566,-85.4807825,0
LSU,55.1183051,52.6265385,0
Nebraska,41.5242483,-75.5371298,0
Alabama,-26.8716667,26.5930556,0
Stanford,37.427467,-122.1702445,0
Grambling,32.5276503,-92.7140403,0
San Diego,32.7174202,-117.1627728,0
Tuskegee,32.4240286,-85.6916195,0
Millersville,35.3038485,-118.4578633,0
Wisconsin-Eau Claire,44.811349,-91.4984941,0
Valley City State,41.9034912,12.4528349,0
Heidelberg,49.4093582,8.694724,0
Wilkes,45.5411904,-122.5047022,0
Belhaven,35.5401653,-76.6229874,0
Thiel,49.4733,5.9087,0
Gettysburg,39.8308973,-77.231012,0
St. Lawrence,63.36228525,-170.03692981607117,0
Catholic,7.22028605,-8.98155018474155,0
Muhlenberg,51.1328487,7.3471564,0
Reading,51.456659,-0.9696512,0
Idaho,-6.7691775,36.5943672,0
Merrimack,42.8650864,-71.4934004,0
Wofford,31.8398162,-102.3536248,0
Montana State,45.6673511,-111.0521129,0
Dayton,39.7589478,-84.1916069,0
Duquesne,40.3814581,-79.8597708,0
Hartwick,41.7847922,-92.3436984,0
Otterbein,39.2820017,-76.6159562,0
Salve Regina,50.6754957,21.7282909,0
Bentley,37.8861228,-97.516988,0
MIT,51.4164775,9.1858482,0
Findlay,41.0413873,-83.6503982,0
Cortland,42.6011813,-76.1804843,0
Susquehanna,39.7587151,-76.3680159,0
Oberlin,41.2939386,-82.2173786,0
Widener,35.0231679,-90.6835441,0
Rowan,42.7409876,-93.5521226,0
Waynesburg,39.8964641,-80.1792299,0
Biddeford,43.4925843,-70.4533844,0
Manchester,53.4794892,-2.2451148,0
Lycoming,43.4991093,-76.3858112,0
Shenandoah,40.7655468,-95.3723535,0
Kean,49.1783664,-53.5310233064386,0
West Liberty,41.5700231,-91.2637695,0
Saint Vincent,43.1614391,-0.1492738,0
McKendree,37.887892,-81.0634311,0
Shippensburg,40.0507198,-77.5205485,0
Chicago,41.8755616,-87.6244212,0
Georgetown,6.8137426,-58.1624465,0
Butler,40.86108,-79.895197,0
Stonehill,16.4353241,120.5966484,0
Franklin,35.925206,-86.8689419,0
St. Olaf,42.9286198,-91.3860637,0
St. Norbert,49.7730457,-97.1668813,0
Lake Erie,42.6242257,-79.066983,0
Wittenberg,51.8666527,12.646761,0
Allegheny,35.9884389,-82.667363,0
Luther,41.9674932,-93.8166642,0
Roosevelt,48.8034101,-95.0982082,0
Grinnell,39.12723,-100.629031,0
Rockford,42.2713945,-89.093966,0
Aurora,41.7571701,-88.3147539,0
Villanova,42.547381,0.462172,0
