season,week,start_date,home_team,away_team,venue,conference_game,predicted_total_points,predicted_home_points,predicted_away_points,predicted_win_margin
2025,1,2025-08-23 16:00:00+00:00,Kansas State,Iowa State,Aviva Stadium,True,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
2025,1,2025-08-23 17:00:00+00:00,Nicholls,Incarnate Word,Manning Field at John L. Guidry Stadium,True,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
2025,1,2025-08-23 20:00:00+00:00,UNLV,Idaho State,Allegiant Stadium,False,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
2025,1,2025-08-23 20:30:00+00:00,Portland State,Tarleton State,Hillsboro Stadium,False,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
2025,1,2025-08-23 22:30:00+00:00,Kansas,Fresno State,Memorial Stadium,False,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
2025,1,2025-08-23 23:00:00+00:00,Western Kentucky,Sam Houston,Houchens Industries-L.T. Smith Stadium,True,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
2025,1,2025-08-23 23:00:00+00:00,Mercer,UC Davis,Cramton Bowl,False,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
2025,1,2025-08-23 23:30:00+00:00,Southern,North Carolina Central,Center Parc Stadium,False,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
2025,1,2025-08-23 23:30:00+00:00,Hawai'i,Stanford,Clarence T.C. Ching Athletics Complex,False,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
2025,1,2025-08-28 04:00:00+00:00,Norfolk State,Towson,"William Dick"""" Price Stadium""""",False,48.12530786298423,24.578738460494943,25.696268569813025,-1.117530109318082
