conference,logo_url
Big 12,https://upload.wikimedia.org/wikipedia/commons/9/9d/Big_12_Conference_logo.svg
Mountain West,https://upload.wikimedia.org/wikipedia/commons/1/1c/Mountain_West_Conference_logo.svg
Big Sky,https://upload.wikimedia.org/wikipedia/commons/6/6f/Big_Sky_Conference_logo.svg
FCS,
Conference USA,https://upload.wikimedia.org/wikipedia/commons/0/09/Conference_USA_logo.svg
SoCon,https://upload.wikimedia.org/wikipedia/commons/7/79/Southern_Conference_logo.svg
SWAC,https://upload.wikimedia.org/wikipedia/commons/5/5b/SWAC_logo_2019.svg
MEAC,https://upload.wikimedia.org/wikipedia/commons/3/3f/MEAC_logo.svg
ACC,https://upload.wikimedia.org/wikipedia/commons/3/3b/Atlantic_Coast_Conference_2014_logo.svg
CAA,https://upload.wikimedia.org/wikipedia/commons/4/48/Coastal_Athletic_Association_2023_wordmark.svg
