season,week,home_team,away_team,market,side,provider,price_american,line,model_prob,implied_prob,edge,kelly_f,stake,start_iso,display_date,result_txt
2025,12,Indiana,Wisconsin,ML,Away,Paddy Power,4000,,0.5453,0.0244,21.3585,0.025,12.5,2025-11-15T17:00:00Z,2025-11-15,—
2025,12,Oklahoma State,Kansas State,ML,Home,FanDuel,860,,0.7497,0.1042,6.197,0.025,12.5,2025-11-15T17:00:00Z,2025-11-15,—
2025,12,Texas Tech,UCF,ML,Away,FanDuel,1400,,0.3729,0.0667,4.5936,0.025,12.5,2025-11-15T20:30:00Z,2025-11-15,—
2025,12,UAB,North Texas,ML,Home,ESPN BET,750,,0.6451,0.1176,4.483,0.025,12.5,2025-11-15T19:00:00Z,2025-11-15,—
2025,12,Boston College,Georgia Tech,ML,Home,DraftKings,600,,0.6638,0.1429,3.6463,0.025,12.5,2025-11-15T20:30:00Z,2025-11-15,—
2025,12,New Mexico,Colorado State,ML,Away,ESPN BET,500,,0.6211,0.1667,2.7269,0.025,12.5,2025-11-15T20:00:00Z,2025-11-15,—
2025,12,Sam Houston,Delaware,ML,Home,DraftKings,300,,0.8708,0.25,2.4834,0.1,50.0,2025-11-16T00:00:00Z,2025-11-16,—
2025,12,Baylor,Utah,ML,Home,Betway,260,,0.8871,0.2778,2.1934,0.1,50.0,2025-11-16T00:00:00Z,2025-11-16,—
2025,12,Old Dominion,Troy,ML,Away,ESPN BET,360,,0.6092,0.2174,1.8025,0.025,12.5,2025-11-14T00:30:00Z,2025-11-14,—
2025,12,UNLV,Utah State,ML,Away,Bovada,200,,0.8538,0.3333,1.5613,0.1,50.0,2025-11-16T00:00:00Z,2025-11-16,—
2025,12,Michigan State,Penn State,ML,Home,Betway,260,,0.6866,0.2778,1.4718,0.1,50.0,2025-11-15T20:30:00Z,2025-11-15,—
2025,12,Pittsburgh,Notre Dame,ML,Home,Fliff,365,,0.5128,0.2151,1.3847,0.025,12.5,2025-11-15T17:00:00Z,2025-11-15,—
2025,12,Illinois,Maryland,ML,Away,ESPN BET,550,,0.3561,0.1538,1.315,0.025,12.5,2025-11-15T20:30:00Z,2025-11-15,—
2025,12,Northwestern,Michigan,ML,Home,FanDuel,430,,0.429,0.1887,1.2734,0.025,12.5,2025-11-15T17:00:00Z,2025-11-15,—
2025,12,Florida State,Virginia Tech,ML,Away,ESPN BET,475,,0.3853,0.1739,1.2154,0.025,12.5,2025-11-16T00:30:00Z,2025-11-16,—
2025,12,Arizona State,West Virginia,ML,Away,Hard Rock Bet,400,,0.4129,0.2,1.0646,0.025,12.5,2025-11-15T18:00:00Z,2025-11-15,—
2025,12,Navy,South Florida,ML,Home,FanDuel,350,,0.4562,0.2222,1.053,0.025,12.5,2025-11-15T17:00:00Z,2025-11-15,—
2025,12,Oregon,Minnesota,Spread,Home,FanDuel,-110,-25.5,1.0,0.5238,0.9091,0.1,50.0,2025-11-15T02:00:00Z,2025-11-15,—
2025,12,James Madison,App State,Spread,Home,DraftKings,-110,-21.0,1.0,0.5238,0.9091,0.1,50.0,2025-11-15T20:30:00Z,2025-11-15,—
