season,week,home_team,away_team,market,side,provider,price_american,line,model_prob,implied_prob,edge,kelly_f,stake,start_iso,display_date,result_txt
2025,5,Oklahoma State,Baylor,ML,Home,MyBookie.ag,1042,,0.914,0.0876,9.4374,0.025,12.5,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Vanderbilt,Utah State,ML,Away,Betfair,1300,,0.4284,0.0714,4.9977,0.025,12.5,2025-09-27T16:45:00Z,2025-09-27,—
2025,5,Wake Forest,Georgia Tech,ML,Home,Hard Rock Bet,450,,0.8057,0.1818,3.4314,0.025,12.5,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Tulsa,Tulane,ML,Home,BetUS,540,,0.65,0.1562,3.1603,0.025,12.5,2025-09-27T20:00:00Z,2025-09-27,—
2025,5,New Mexico,New Mexico State,ML,Home,Hard Rock Bet,475,,0.6916,0.1739,2.9767,0.025,12.5,2025-09-27T20:00:00Z,2025-09-27,—
2025,5,West Virginia,Utah,ML,Home,Hard Rock Bet,400,,0.7522,0.2,2.7608,0.025,12.5,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Oregon State,Houston,ML,Home,BetUS,425,,0.6802,0.1905,2.5708,0.025,12.5,2025-09-27T02:30:00Z,2025-09-27,—
2025,5,Old Dominion,Liberty,ML,Away,BetOnline.ag,534,,0.5054,0.1577,2.2042,0.025,12.5,2025-09-27T22:00:00Z,2025-09-27,—
2025,5,Mississippi State,Tennessee,ML,Home,Betfair,270,,0.761,0.2703,1.8159,0.1,50.0,2025-09-27T20:15:00Z,2025-09-27,—
2025,5,Pittsburgh,Louisville,ML,Home,ESPN BET,170,,0.8292,0.3704,1.2389,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Buffalo,UConn,ML,Home,Bovada,160,,0.8464,0.3846,1.2007,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,North Texas,South Alabama,ML,Away,DraftKings,380,,0.4511,0.2083,1.1652,0.025,12.5,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,NC State,Virginia Tech,ML,Away,Bovada,305,,0.5303,0.2469,1.1477,0.025,12.5,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Syracuse,Duke,ML,Home,ESPN BET,190,,0.7376,0.3448,1.1391,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Iowa,Indiana,ML,Home,Hard Rock Bet,260,,0.586,0.2778,1.1096,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,UTEP,Louisiana Tech,ML,Home,ESPN BET,170,,0.7748,0.3704,1.092,0.1,50.0,2025-09-28T01:00:00Z,2025-09-28,—
2025,5,Iowa State,Arizona,ML,Away,BetUS,203,,0.6749,0.33,1.045,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Missouri State,Western Kentucky,ML,Home,Bovada,175,,0.741,0.3636,1.0377,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Southern Miss,Jacksonville State,ML,Away,Bovada,160,,0.7392,0.3846,0.9219,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Missouri,Massachusetts,Spread,Home,FanDuel,-110,-44.5,1.0,0.5238,0.9091,0.1,50.0,2025-09-27T23:30:00Z,2025-09-27,—
2025,5,Toledo,Akron,Spread,Home,DraftKings,-110,-21.0,1.0,0.5238,0.9091,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Boise State,App State,Spread,Home,FanDuel,-110,-16.5,0.9999,0.5238,0.909,0.1,50.0,2025-09-27T23:30:00Z,2025-09-27,—
2025,5,James Madison,Georgia Southern,Spread,Home,DraftKings,-110,-17.5,0.9999,0.5238,0.909,0.1,50.0,2025-09-27T17:30:00Z,2025-09-27,—
2025,5,Texas A&M,Auburn,Spread,Home,FanDuel,-110,-6.5,0.9998,0.5238,0.9088,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Navy,Rice,Spread,Home,DraftKings,-110,-14.5,0.9998,0.5238,0.9087,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Air Force,Hawai'i,Spread,Home,MyBookie.ag,-110,-7.0,0.9997,0.5238,0.9085,0.1,50.0,2025-09-27T20:10:00Z,2025-09-27,—
2025,5,Boston College,California,Spread,Home,FanDuel,-110,-6.5,0.9996,0.5238,0.9084,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Vanderbilt,Utah State,Spread,Home,ESPN BET,-110,-23.5,0.9996,0.5238,0.9084,0.1,50.0,2025-09-27T16:45:00Z,2025-09-27,—
2025,5,Kansas State,UCF,Spread,Home,FanDuel,-110,-6.5,0.9995,0.5238,0.9081,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Western Michigan,Rhode Island,Spread,Home,FanDuel,-110,-7.5,0.9993,0.5238,0.9078,0.1,50.0,2025-09-27T22:30:00Z,2025-09-27,—
2025,5,Minnesota,Rutgers,Spread,Home,DraftKings,-110,-5.5,0.9991,0.5238,0.9073,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Ohio,Bowling Green,Spread,Home,Bovada,-110,-9.5,0.999,0.5238,0.9072,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,North Texas,South Alabama,Spread,Home,Nordic Bet,-110,-13.5,0.9984,0.5238,0.9061,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Northwestern,UCLA,Spread,Home,FanDuel,-110,-6.5,0.9978,0.5238,0.9049,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Kennesaw State,Middle Tennessee,Spread,Home,DraftKings,-110,-7.5,0.9977,0.5238,0.9047,0.1,50.0,2025-09-27T22:00:00Z,2025-09-27,—
2025,5,Central Michigan,Eastern Michigan,Spread,Home,DraftKings,-110,-6.5,0.9969,0.5238,0.9032,0.1,50.0,2025-09-27T17:00:00Z,2025-09-27,—
2025,5,Old Dominion,Liberty,Spread,Home,DraftKings,-110,-16.5,0.9962,0.5238,0.9019,0.1,50.0,2025-09-27T22:00:00Z,2025-09-27,—
2025,5,Arizona State,TCU,Spread,Home,ESPN BET,-110,-3.5,0.9956,0.5238,0.9006,0.1,50.0,2025-09-27T01:00:00Z,2025-09-27,—
2025,5,Penn State,Oregon,Spread,Home,DraftKings,-110,-3.5,0.9952,0.5238,0.8999,0.1,50.0,2025-09-27T23:30:00Z,2025-09-27,—
2025,5,Louisiana,Marshall,Spread,Home,Bovada,-110,-1.5,0.9947,0.5238,0.899,0.1,50.0,2025-09-28T00:00:00Z,2025-09-28,—
2025,5,Pittsburgh,Louisville,Spread,Home,Hard Rock Bet,-110,3.5,0.994,0.5238,0.8976,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Kansas,Cincinnati,Spread,Home,FanDuel,-110,-4.5,0.9922,0.5238,0.8942,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Buffalo,UConn,Spread,Home,DraftKings,-110,3.5,0.9915,0.5238,0.8928,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,UTEP,Louisiana Tech,Spread,Home,Fliff,-110,3.5,0.9908,0.5238,0.8915,0.1,50.0,2025-09-28T01:00:00Z,2025-09-28,—
2025,5,Syracuse,Duke,Spread,Home,Coolbet,-110,4.5,0.9891,0.5238,0.8883,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Georgia,Alabama,Spread,Home,Nordic Bet,-110,-3.5,0.9886,0.5238,0.8873,0.1,50.0,2025-09-27T23:30:00Z,2025-09-27,—
2025,5,South Carolina,Kentucky,Spread,Home,Bovada,-110,-6.5,0.9885,0.5238,0.8871,0.1,50.0,2025-09-27T23:45:00Z,2025-09-27,—
2025,5,NC State,Virginia Tech,Spread,Home,Fliff,-110,-10.5,0.9877,0.5238,0.8857,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Colorado State,Washington State,Spread,Home,LowVig.ag,-110,-6.0,0.9843,0.5238,0.8791,0.1,50.0,2025-09-27T23:30:00Z,2025-09-27,—
2025,5,Ole Miss,LSU,Spread,Home,MyBookie.ag,-110,-2.0,0.9841,0.5238,0.8787,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Northern Illinois,San Diego State,Spread,Home,LowVig.ag,-110,2.0,0.9836,0.5238,0.8777,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Missouri State,Western Kentucky,Total,Under,DraftKings,-110,62.5,0.97,0.5238,0.8518,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Virginia,Florida State,Total,Under,Ladbrokes,-110,63.5,0.9645,0.5238,0.8413,0.1,50.0,2025-09-26T23:00:00Z,2025-09-26,—
2025,5,Mississippi State,Tennessee,Spread,Home,Coral,-110,5.5,0.9645,0.5238,0.8412,0.1,50.0,2025-09-27T20:15:00Z,2025-09-27,—
2025,5,Iowa State,Arizona,Spread,Home,Ladbrokes,-110,-7.5,0.9612,0.5238,0.8351,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,UL Monroe,Arkansas State,Spread,Home,DraftKings,-110,-1.5,0.9531,0.5238,0.8196,0.1,50.0,2025-09-27T19:00:00Z,2025-09-27,—
2025,5,Missouri State,Western Kentucky,Spread,Home,DraftKings,-110,4.5,0.9529,0.5238,0.8192,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,NC State,Virginia Tech,Total,Under,Coral,-110,61.5,0.9526,0.5238,0.8186,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Mississippi State,Tennessee,Total,Under,MyBookie.ag,-110,64.0,0.947,0.5238,0.808,0.1,50.0,2025-09-27T20:15:00Z,2025-09-27,—
2025,5,Vanderbilt,Utah State,Total,Under,Bovada,-110,60.0,0.9321,0.5238,0.7794,0.1,50.0,2025-09-27T16:45:00Z,2025-09-27,—
2025,5,Wake Forest,Georgia Tech,Spread,Home,FanDuel,-110,13.5,0.9311,0.5238,0.7776,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,West Virginia,Utah,Spread,Home,Nordic Bet,-110,11.5,0.927,0.5238,0.7697,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Florida Atlantic,Memphis,Total,Under,Nordic Bet,-110,64.0,0.917,0.5238,0.7507,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Iowa,Indiana,Spread,Home,FanDuel,-110,7.5,0.914,0.5238,0.7449,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Southern Miss,Jacksonville State,Spread,Home,Fliff,-110,-4.5,0.9115,0.5238,0.7401,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Oregon State,Houston,Spread,Home,Hard Rock Bet,-110,12.5,0.9078,0.5238,0.733,0.1,50.0,2025-09-27T02:30:00Z,2025-09-27,—
2025,5,Oklahoma State,Baylor,Spread,Home,FanDuel,-110,20.5,0.9021,0.5238,0.7222,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,New Mexico,New Mexico State,Spread,Home,DraftKings,-110,14.0,0.8987,0.5238,0.7157,0.1,50.0,2025-09-27T20:00:00Z,2025-09-27,—
2025,5,Arkansas,Notre Dame,Total,Under,betPARX,-110,65.0,0.8962,0.5238,0.711,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Southern Miss,Jacksonville State,Total,Under,Bovada,-110,55.5,0.8913,0.5238,0.7016,0.1,50.0,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Illinois,USC,Total,Under,Betsson,-110,61.5,0.885,0.5238,0.6896,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Georgia,Alabama,Total,Under,BetOnline.ag,-110,53.0,0.8686,0.5238,0.6583,0.1,50.0,2025-09-27T23:30:00Z,2025-09-27,—
2025,5,Arkansas,Notre Dame,Spread,Home,Betsson,-110,3.5,0.8685,0.5238,0.6581,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Illinois,USC,Spread,Home,Nordic Bet,-110,5.5,0.8665,0.5238,0.6543,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Florida Atlantic,Memphis,ML,Home,Marathon Bet,425,,0.314,0.1905,0.6483,0.025,12.5,2025-09-27T23:00:00Z,2025-09-27,—
2025,5,Kansas,Cincinnati,Total,Under,Coolbet,-110,58.0,0.8614,0.5238,0.6445,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Virginia,Florida State,Spread,Home,FanDuel,-110,6.5,0.8603,0.5238,0.6425,0.1,50.0,2025-09-26T23:00:00Z,2025-09-26,—
2025,5,Boise State,App State,Total,Under,FanDuel,-110,61.5,0.8601,0.5238,0.642,0.1,50.0,2025-09-27T23:30:00Z,2025-09-27,—
2025,5,Tulsa,Tulane,Total,Under,Bovada,-110,53.0,0.8583,0.5238,0.6385,0.1,50.0,2025-09-27T20:00:00Z,2025-09-27,—
2025,5,Colorado,BYU,Spread,Home,FanDuel,-110,6.5,0.8572,0.5238,0.6365,0.1,50.0,2025-09-28T02:15:00Z,2025-09-28,—
2025,5,Washington,Ohio State,Spread,Home,Fliff,-110,7.5,0.8402,0.5238,0.6039,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Virginia,Florida State,ML,Home,Bovada,230,,0.4845,0.303,0.5988,0.1,50.0,2025-09-26T23:00:00Z,2025-09-26,—
2025,5,Old Dominion,Liberty,Total,Under,ESPN BET,-110,52.5,0.8342,0.5238,0.5925,0.1,50.0,2025-09-27T22:00:00Z,2025-09-27,—
2025,5,Ole Miss,LSU,Total,Under,Ladbrokes,-110,59.5,0.83,0.5238,0.5846,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,Northern Illinois,San Diego State,ML,Home,ESPN BET,120,,0.71,0.4545,0.5619,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,UTEP,Louisiana Tech,Total,Over,DraftKings,-110,47.5,0.8154,0.5238,0.5567,0.1,50.0,2025-09-28T01:00:00Z,2025-09-28,—
2025,5,Northern Illinois,San Diego State,Total,Over,Coral,-110,42.5,0.8147,0.5238,0.5554,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,North Texas,South Alabama,Total,Under,FanDuel,-110,62.5,0.8102,0.5238,0.5468,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Louisiana,Marshall,Total,Over,DraftKings,-110,46.5,0.8002,0.5238,0.5277,0.1,50.0,2025-09-28T00:00:00Z,2025-09-28,—
2025,5,Navy,Rice,Total,Over,Bovada,-110,44.0,0.7784,0.5238,0.486,0.1,50.0,2025-09-27T19:30:00Z,2025-09-27,—
2025,5,South Carolina,Kentucky,Total,Under,Coral,-110,50.5,0.777,0.5238,0.4834,0.1,50.0,2025-09-27T23:45:00Z,2025-09-27,—
2025,5,Penn State,Oregon,Total,Over,DraftKings,-110,51.5,0.7704,0.5238,0.4708,0.1,50.0,2025-09-27T23:30:00Z,2025-09-27,—
2025,5,Tulsa,Tulane,Spread,Home,LowVig.ag,-110,14.5,0.7688,0.5238,0.4676,0.1,50.0,2025-09-27T20:00:00Z,2025-09-27,—
2025,5,Kansas State,UCF,Total,Over,FanDuel,-110,49.5,0.7604,0.5238,0.4517,0.1,50.0,2025-09-27T16:00:00Z,2025-09-27,—
2025,5,Louisiana,Marshall,ML,Home,FanDuel,-104,,0.7325,0.5098,0.4368,0.1,50.0,2025-09-28T00:00:00Z,2025-09-28,—
2025,5,James Madison,Georgia Southern,Total,Under,BetRivers,-110,58.0,0.7509,0.5238,0.4335,0.1,50.0,2025-09-27T17:30:00Z,2025-09-27,—
