season,week,home_team,away_team,market,side,provider,price_american,line,model_prob,implied_prob,edge,kelly_f,stake,start_iso,display_date,result_txt
2025,14,Stanford,Notre Dame,ML,Home,Paddy Power,5000,,0.6519,0.0196,32.245,0.025,12.5,2025-11-30T03:30:00Z,2025-11-30,—
2025,14,Purdue,Indiana,ML,Home,ESPN BET,2500,,0.7047,0.0385,17.3227,0.025,12.5,2025-11-29T00:30:00Z,2025-11-29,—
2025,14,Old Dominion,Georgia State,ML,Away,DraftKings,2000,,0.6282,0.0476,12.1914,0.025,12.5,2025-11-29T19:00:00Z,2025-11-29,—
2025,14,West Virginia,Texas Tech,ML,Home,ESPN BET,1300,,0.8016,0.0714,10.2224,0.025,12.5,2025-11-29T17:00:00Z,2025-11-29,—
2025,14,Coastal Carolina,James Madison,ML,Home,ESPN BET,1200,,0.4299,0.0769,4.5891,0.025,12.5,2025-11-29T20:45:00Z,2025-11-29,—
2025,14,Oklahoma State,Iowa State,ML,Home,FanDuel,490,,0.831,0.1695,3.9028,0.025,12.5,2025-11-29T17:00:00Z,2025-11-29,—
2025,14,Massachusetts,Bowling Green,ML,Home,FanDuel,500,,0.6159,0.1667,2.6956,0.025,12.5,2025-11-25T21:30:00Z,2025-11-25,—
2025,14,Sam Houston,Florida International,ML,Home,FanDuel,310,,0.8882,0.2439,2.6416,0.025,12.5,2025-11-29T18:00:00Z,2025-11-29,—
2025,14,Texas State,South Alabama,ML,Away,ESPN BET,290,,0.7698,0.2564,2.0021,0.1,50.0,2025-11-29T20:00:00Z,2025-11-29,—
2025,14,Kansas State,Colorado,ML,Away,ESPN BET,700,,0.3456,0.125,1.7646,0.025,12.5,2025-11-29T17:00:00Z,2025-11-29,—
2025,14,California,SMU,ML,Home,BetOnline.ag,431,,0.4756,0.1883,1.5252,0.025,12.5,2025-11-30T01:00:00Z,2025-11-30,—
2025,14,Nevada,UNLV,ML,Home,Betway,265,,0.6556,0.274,1.3931,0.1,50.0,2025-11-30T02:00:00Z,2025-11-30,—
2025,14,Pittsburgh,Miami,ML,Home,Betway,230,,0.7188,0.303,1.3719,0.1,50.0,2025-11-29T17:00:00Z,2025-11-29,—
