season,week,home_team,away_team,market,side,provider,price_american,line,model_prob,implied_prob,edge,kelly_f,stake,start_iso,display_date,result_txt
2025,13,UAB,South Florida,ML,Home,FanDuel,1200,,0.5851,0.0769,6.6064,0.025,12.5,2025-11-22T20:00:00Z,2025-11-22,—
2025,13,Virginia Tech,Miami,ML,Home,Fliff,750,,0.4928,0.1176,3.1892,0.025,12.5,2025-11-22T17:00:00Z,2025-11-22,—
2025,13,Georgia Southern,Old Dominion,ML,Home,LowVig.ag,334,,0.9426,0.2304,3.0908,0.025,12.5,2025-11-22T18:00:00Z,2025-11-22,—
2025,13,UCF,Oklahoma State,ML,Away,ESPN BET,450,,0.6442,0.1818,2.5429,0.025,12.5,2025-11-22T21:00:00Z,2025-11-22,—
2025,13,Wake Forest,Delaware,ML,Away,Fliff,780,,0.3914,0.1136,2.4443,0.025,12.5,2025-11-22T17:00:00Z,2025-11-22,—
2025,13,Texas State,UL Monroe,ML,Away,ESPN BET,1000,,0.3106,0.0909,2.4161,0.025,12.5,2025-11-22T22:00:00Z,2025-11-22,—
2025,13,UCLA,Washington,ML,Home,Betway,350,,0.7476,0.2222,2.3644,0.025,12.5,2025-11-23T03:30:00Z,2025-11-23,—
2025,13,Maryland,Michigan,ML,Home,FanDuel,500,,0.5525,0.1667,2.3152,0.025,12.5,2025-11-22T21:00:00Z,2025-11-22,—
2025,13,Utah,Kansas State,ML,Away,Ladbrokes,650,,0.4353,0.1333,2.265,0.025,12.5,2025-11-22T21:00:00Z,2025-11-22,—
2025,13,Wisconsin,Illinois,ML,Home,Unibet (UK),300,,0.7529,0.25,2.0115,0.1,50.0,2025-11-23T00:30:00Z,2025-11-23,—
2025,13,Florida Atlantic,UConn,ML,Home,DraftKings,225,,0.8893,0.3077,1.8903,0.1,50.0,2025-11-22T20:00:00Z,2025-11-22,—
2025,13,Vanderbilt,Kentucky,ML,Away,Betfair,295,,0.6391,0.2532,1.5243,0.1,50.0,2025-11-22T20:30:00Z,2025-11-22,—
2025,13,North Carolina,Duke,ML,Home,Betway,225,,0.7682,0.3077,1.4967,0.1,50.0,2025-11-22T20:30:00Z,2025-11-22,—
2025,13,Florida,Tennessee,ML,Home,DraftKings,170,,0.8047,0.3704,1.1727,0.1,50.0,2025-11-23T00:30:00Z,2025-11-23,—
2025,13,Air Force,New Mexico,ML,Home,Hard Rock Bet,155,,0.8428,0.3922,1.149,0.1,50.0,2025-11-23T00:00:00Z,2025-11-23,—
2025,13,Middle Tennessee,Sam Houston,ML,Away,Betway,225,,0.6081,0.3077,0.9763,0.1,50.0,2025-11-22T20:00:00Z,2025-11-22,—
2025,13,Northern Illinois,Western Michigan,ML,Home,Betway,225,,0.5983,0.3077,0.9445,0.1,50.0,2025-11-19T00:00:00Z,2025-11-19,—
2025,13,Stanford,California,ML,Home,Betfair,144,,0.7838,0.4098,0.9124,0.1,50.0,2025-11-23T00:30:00Z,2025-11-23,—
2025,13,Ohio,Massachusetts,Spread,Home,FanDuel,-110,-33.5,1.0,0.5238,0.9091,0.1,50.0,2025-11-19T00:15:00Z,2025-11-19,—
2025,13,Boise State,Colorado State,Spread,Home,DraftKings,-110,-17.5,1.0,0.5238,0.9091,0.1,50.0,2025-11-23T00:00:00Z,2025-11-23,—
2025,13,Clemson,Furman,Spread,Home,FanDuel,-110,-41.5,1.0,0.5238,0.9091,0.1,50.0,2025-11-22T21:30:00Z,2025-11-22,—
2025,13,LSU,Western Kentucky,Spread,Home,DraftKings,-110,-21.5,1.0,0.5238,0.9091,0.1,50.0,2025-11-23T00:45:00Z,2025-11-23,—
2025,13,Ohio State,Rutgers,Spread,Home,DraftKings,-110,-32.5,1.0,0.5238,0.9091,0.1,50.0,2025-11-22T17:00:00Z,2025-11-22,—
