season,week,home_team,away_team,market,side,provider,price_american,line,model_prob,implied_prob,edge,kelly_f,stake,start_iso,display_date,result_txt
2025,9,Charlotte,North Texas,ML,Home,Fanatics,1800,,0.4221,0.0526,7.0197,0.025,12.5,2025-10-24T23:00:00Z,2025-10-24,—
2025,9,Nevada,Boise State,ML,Home,Marathon Bet,1125,,0.5793,0.0816,6.0963,0.025,12.5,2025-10-25T02:00:00Z,2025-10-25,—
2025,9,Indiana,UCLA,ML,Away,DraftKings,1500,,0.3927,0.0625,5.2828,0.025,12.5,2025-10-25T16:00:00Z,2025-10-25,—
2025,9,North Carolina,Virginia,ML,Home,Betway,330,,0.9046,0.2326,2.8896,0.025,12.5,2025-10-25T16:00:00Z,2025-10-25,—
2025,9,Michigan State,Michigan,ML,Home,Hard Rock Bet,475,,0.6628,0.1739,2.811,0.025,12.5,2025-10-25T23:30:00Z,2025-10-25,—
2025,9,Eastern Michigan,Ohio,ML,Home,BetUS,378,,0.7799,0.2092,2.7281,0.025,12.5,2025-10-25T16:00:00Z,2025-10-25,—
2025,9,South Carolina,Alabama,ML,Home,DraftKings,425,,0.6982,0.1905,2.6654,0.025,12.5,2025-10-25T19:30:00Z,2025-10-25,—
2025,9,Kent State,Bowling Green,ML,Home,Hard Rock Bet,275,,0.9005,0.2667,2.377,0.1,50.0,2025-10-25T16:00:00Z,2025-10-25,—
2025,9,Kentucky,Tennessee,ML,Home,DraftKings,280,,0.8887,0.2632,2.3769,0.1,50.0,2025-10-25T23:45:00Z,2025-10-25,—
2025,9,Georgia Tech,Syracuse,ML,Away,LowVig.ag,613,,0.379,0.1403,1.7023,0.025,12.5,2025-10-25T16:00:00Z,2025-10-25,—
2025,9,Tulsa,Temple,ML,Home,DraftKings,190,,0.9103,0.3448,1.64,0.1,50.0,2025-10-25T19:30:00Z,2025-10-25,—
2025,9,West Virginia,TCU,ML,Home,Hard Rock Bet,475,,0.4537,0.1739,1.6087,0.025,12.5,2025-10-25T22:00:00Z,2025-10-25,—
2025,9,Memphis,South Florida,ML,Home,Bovada,160,,0.9493,0.3846,1.4681,0.1,50.0,2025-10-25T16:00:00Z,2025-10-25,—
2025,9,Georgia State,South Alabama,ML,Home,Betway,200,,0.7652,0.3333,1.2956,0.1,50.0,2025-10-23T23:30:00Z,2025-10-23,—
2025,9,Mississippi State,Texas,ML,Home,Betway,225,,0.6878,0.3077,1.2354,0.1,50.0,2025-10-25T20:15:00Z,2025-10-25,—
2025,9,Navy,Florida Atlantic,ML,Away,DraftKings,500,,0.329,0.1667,0.9739,0.025,12.5,2025-10-25T19:30:00Z,2025-10-25,—
2025,9,Purdue,Rutgers,ML,Home,Paddy Power,120,,0.8926,0.4545,0.9638,0.1,50.0,2025-10-25T16:00:00Z,2025-10-25,—
2025,9,LSU,Texas A&M,ML,Home,LowVig.ag,120,,0.8917,0.4545,0.9616,0.1,50.0,2025-10-25T23:30:00Z,2025-10-25,—
2025,9,Louisville,Boston College,Spread,Home,Betsson,-110,-24.5,1.0,0.5238,0.9091,0.1,50.0,2025-10-25T23:30:00Z,2025-10-25,—
2025,9,Miami,Stanford,Spread,Home,DraftKings,-110,-30.5,1.0,0.5238,0.9091,0.1,50.0,2025-10-25T23:00:00Z,2025-10-25,—
