season,week,home_team,away_team,market,side,provider,price_american,line,model_prob,implied_prob,edge,kelly_f,stake,start_iso,display_date,result_txt
2025,8,Indiana,Michigan State,ML,Away,Fanatics,1800,,0.5281,0.0526,9.034,0.025,12.5,2025-10-18T19:30:00Z,2025-10-18,—
2025,8,Oklahoma State,Cincinnati,ML,Home,Marathon Bet,1050,,0.6255,0.087,6.1929,0.025,12.5,2025-10-19T00:00:00Z,2025-10-19,—
2025,8,Virginia,Washington State,ML,Away,BetOnline.ag,624,,0.7819,0.1381,4.6613,0.025,12.5,2025-10-18T22:30:00Z,2025-10-18,—
2025,8,South Florida,Florida Atlantic,ML,Away,Marathon Bet,1100,,0.4036,0.0833,3.8432,0.025,12.5,2025-10-18T23:30:00Z,2025-10-18,—
2025,8,East Carolina,Tulsa,ML,Away,Marathon Bet,630,,0.455,0.137,2.3217,0.025,12.5,2025-10-16T23:30:00Z,2025-10-16,—
2025,8,California,North Carolina,ML,Away,Betway,330,,0.768,0.2326,2.3025,0.025,12.5,2025-10-18T02:30:00Z,2025-10-18,—
2025,8,New Mexico,Nevada,ML,Away,BetUS,355,,0.7065,0.2198,2.2146,0.025,12.5,2025-10-19T01:45:00Z,2025-10-19,—
2025,8,Stanford,Florida State,ML,Home,ESPN BET,700,,0.3769,0.125,2.0155,0.025,12.5,2025-10-19T02:30:00Z,2025-10-19,—
2025,8,Miami,Louisville,ML,Away,Betfair,440,,0.4587,0.1852,1.4772,0.025,12.5,2025-10-17T23:00:00Z,2025-10-17,—
2025,8,Minnesota,Nebraska,ML,Home,Betway,275,,0.6216,0.2667,1.3312,0.1,50.0,2025-10-18T00:00:00Z,2025-10-18,—
2025,8,Louisiana,Southern Miss,ML,Home,LowVig.ag,150,,0.8416,0.4,1.104,0.1,50.0,2025-10-18T21:00:00Z,2025-10-18,—
2025,8,Ohio,Northern Illinois,ML,Away,Betway,400,,0.4164,0.2,1.0821,0.025,12.5,2025-10-18T19:30:00Z,2025-10-18,—
2025,8,Vanderbilt,LSU,ML,Away,LeoVegas,123,,0.9301,0.4484,1.074,0.1,50.0,2025-10-18T16:00:00Z,2025-10-18,—
2025,8,Charlotte,Temple,ML,Home,betPARX,360,,0.4456,0.2174,1.0498,0.025,12.5,2025-10-18T19:30:00Z,2025-10-18,—
2025,8,South Alabama,Arkansas State,ML,Away,Matchbook,255,,0.5653,0.2817,1.0067,0.1,50.0,2025-10-14T23:30:00Z,2025-10-14,—
2025,8,Bowling Green,Central Michigan,ML,Away,BetAnything,170,,0.7401,0.3704,0.9983,0.1,50.0,2025-10-18T16:00:00Z,2025-10-18,—
2025,8,Sam Houston,UTEP,ML,Home,Matchbook,122,,0.8753,0.4505,0.9432,0.1,50.0,2025-10-15T23:00:00Z,2025-10-15,—
2025,8,Wisconsin,Ohio State,Spread,Away,FanDuel,-110,26.5,0.9998,0.5238,0.9087,0.1,50.0,2025-10-18T19:30:00Z,2025-10-18,—
2025,8,Rutgers,Oregon,Spread,Away,DraftKings,-110,17.5,0.9996,0.5238,0.9083,0.1,50.0,2025-10-18T22:30:00Z,2025-10-18,—
2025,8,Toledo,Kent State,Spread,Home,BoyleSports,-110,-27.5,0.9991,0.5238,0.9074,0.1,50.0,2025-10-18T18:00:00Z,2025-10-18,—
2025,8,Oregon State,Lafayette,Spread,Home,FanDuel,-110,-20.5,0.9967,0.5238,0.9028,0.1,50.0,2025-10-19T02:00:00Z,2025-10-19,—
2025,8,UAB,Memphis,Spread,Away,Hard Rock Bet,-110,22.5,0.9948,0.5238,0.8992,0.1,50.0,2025-10-18T20:00:00Z,2025-10-18,—
2025,8,Massachusetts,Buffalo,Spread,Away,1xBet,-110,17.5,0.9896,0.5238,0.8892,0.1,50.0,2025-10-18T18:30:00Z,2025-10-18,—
2025,8,Boise State,UNLV,Spread,Home,DraftKings,-110,-12.5,0.9893,0.5238,0.8887,0.1,50.0,2025-10-18T19:30:00Z,2025-10-18,—
2025,8,Western Kentucky,Florida International,Spread,Home,Coral,-110,-14.5,0.986,0.5238,0.8823,0.1,50.0,2025-10-15T00:00:00Z,2025-10-15,—
2025,8,Liberty,New Mexico State,Spread,Home,Nordic Bet,-110,-10.5,0.9787,0.5238,0.8684,0.1,50.0,2025-10-14T23:00:00Z,2025-10-14,—
2025,8,South Carolina,Oklahoma,Spread,Away,FanDuel,-110,5.5,0.9749,0.5238,0.8611,0.1,50.0,2025-10-18T16:45:00Z,2025-10-18,—
2025,8,Kentucky,Texas,ML,Home,Hard Rock Bet,450,,0.3379,0.1818,0.8586,0.025,12.5,2025-10-18T23:00:00Z,2025-10-18,—
2025,8,South Florida,Florida Atlantic,Spread,Home,Unibet (NL),-110,-22.0,0.9697,0.5238,0.8513,0.1,50.0,2025-10-18T23:30:00Z,2025-10-18,—
2025,8,Indiana,Michigan State,Spread,Home,FanDuel,-110,-27.5,0.9697,0.5238,0.8512,0.1,50.0,2025-10-18T19:30:00Z,2025-10-18,—
2025,8,James Madison,Old Dominion,Spread,Home,FanDuel,-110,-1.5,0.9581,0.5238,0.8291,0.1,50.0,2025-10-18T19:30:00Z,2025-10-18,—
2025,8,Stanford,Florida State,Spread,Away,Betsson,-110,18.5,0.9567,0.5238,0.8264,0.1,50.0,2025-10-19T02:30:00Z,2025-10-19,—
2025,8,Vanderbilt,LSU,Spread,Away,DraftKings,-110,-2.5,0.9522,0.5238,0.8179,0.1,50.0,2025-10-18T16:00:00Z,2025-10-18,—
2025,8,Marshall,Texas State,ML,Home,LowVig.ag,130,,0.7902,0.4348,0.8174,0.1,50.0,2025-10-18T19:30:00Z,2025-10-18,—
