season,week,home_team,away_team,market,side,provider,price_american,line,model_prob,implied_prob,edge,kelly_f,stake,start_iso,display_date,result_txt
2025,6,UCLA,Penn State,ML,Home,Betfair,1650,,0.7327,0.0571,11.822,0.025,12.5,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Ohio State,Minnesota,ML,Away,Fliff,1710,,0.4133,0.0552,6.4812,0.025,12.5,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,Old Dominion,Coastal Carolina,ML,Away,MyBookie.ag,852,,0.4926,0.105,3.6896,0.025,12.5,2025-10-04T22:00:00Z,2025-10-04,—
2025,6,Arkansas State,Texas State,ML,Home,ESPN BET,425,,0.8914,0.1905,3.6801,0.025,12.5,2025-10-04T20:00:00Z,2025-10-04,—
2025,6,Arizona,Oklahoma State,ML,Away,ESPN BET,900,,0.4612,0.1,3.6121,0.025,12.5,2025-10-04T18:00:00Z,2025-10-04,—
2025,6,Houston,Texas Tech,ML,Home,Hard Rock Bet,400,,0.9152,0.2,3.5759,0.025,12.5,2025-10-04T23:00:00Z,2025-10-04,—
2025,6,Georgia State,James Madison,ML,Home,ESPN BET,1000,,0.3853,0.0909,3.2383,0.025,12.5,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Ball State,Ohio,ML,Home,Betfair,520,,0.5752,0.1613,2.5664,0.025,12.5,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Purdue,Illinois,ML,Home,Fliff,305,,0.8319,0.2469,2.3692,0.025,12.5,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,North Carolina,Clemson,ML,Home,FanDuel,520,,0.5189,0.1613,2.2171,0.025,12.5,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,UAB,Army,ML,Home,ESPN BET,220,,0.8388,0.3125,1.6842,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,UCF,Kansas,ML,Home,DraftKings,180,,0.9491,0.3571,1.6575,0.1,50.0,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,Florida,Texas,ML,Home,Betfair,184,,0.8948,0.3521,1.5411,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Florida State,Miami,ML,Home,Betfair,166,,0.9174,0.3759,1.4402,0.1,50.0,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,Navy,Air Force,ML,Away,Coral,380,,0.442,0.2083,1.1214,0.025,12.5,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Massachusetts,Western Michigan,ML,Home,Hard Rock Bet,450,,0.3791,0.1818,1.0853,0.025,12.5,2025-10-04T18:30:00Z,2025-10-04,—
2025,6,Wyoming,UNLV,ML,Home,Betfair,156,,0.7574,0.3906,0.939,0.1,50.0,2025-10-04T23:00:00Z,2025-10-04,—
2025,6,South Florida,Charlotte,Spread,Home,FanDuel,-110,-27.5,1.0,0.5238,0.9091,0.1,50.0,2025-10-03T23:00:00Z,2025-10-03,—
2025,6,Memphis,Tulsa,Spread,Home,DraftKings,-110,-20.5,1.0,0.5238,0.9091,0.1,50.0,2025-10-05T00:00:00Z,2025-10-05,—
2025,6,NC State,Campbell,Spread,Home,FanDuel,-110,-42.5,1.0,0.5238,0.9091,0.1,50.0,2025-10-04T18:00:00Z,2025-10-04,—
2025,6,Oklahoma,Kent State,Spread,Home,FanDuel,-110,-45.5,1.0,0.5238,0.9091,0.1,50.0,2025-10-04T20:00:00Z,2025-10-04,—
2025,6,Fresno State,Nevada,Spread,Home,ESPN BET,-110,-14.5,1.0,0.5238,0.9091,0.1,50.0,2025-10-05T02:30:00Z,2025-10-05,—
2025,6,BYU,West Virginia,Spread,Home,DraftKings,-110,-20.5,0.9999,0.5238,0.909,0.1,50.0,2025-10-04T02:30:00Z,2025-10-04,—
2025,6,Northwestern,UL Monroe,Spread,Home,FanDuel,-110,-11.5,1.0,0.5238,0.909,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Ohio State,Minnesota,Spread,Home,MyBookie.ag,-110,-24.0,0.9999,0.5238,0.909,0.1,50.0,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,Georgia,Kentucky,Spread,Home,DraftKings,-110,-19.5,1.0,0.5238,0.909,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Notre Dame,Boise State,Spread,Home,Fliff,-110,-21.5,0.9999,0.5238,0.909,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Old Dominion,Coastal Carolina,Spread,Home,DraftKings,-110,-20.5,0.9999,0.5238,0.9089,0.1,50.0,2025-10-04T22:00:00Z,2025-10-04,—
2025,6,Texas A&M,Mississippi State,Spread,Home,Fliff,-110,-15.5,0.9999,0.5238,0.9089,0.1,50.0,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,Louisville,Virginia,Spread,Home,Ladbrokes,-110,-7.5,0.9998,0.5238,0.9088,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Nebraska,Michigan State,Spread,Home,Coral,-110,-12.5,0.9998,0.5238,0.9087,0.1,50.0,2025-10-04T20:00:00Z,2025-10-04,—
2025,6,SMU,Syracuse,Spread,Home,Unibet (SE),-110,-18.0,0.9998,0.5238,0.9087,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,TCU,Colorado,Spread,Home,Hard Rock Bet,-110,-14.5,0.9998,0.5238,0.9087,0.1,50.0,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,Alabama,Vanderbilt,Spread,Home,FanDuel,-110,-10.5,0.9997,0.5238,0.9085,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Arizona,Oklahoma State,Spread,Home,MyBookie.ag,-110,-21.0,0.9996,0.5238,0.9083,0.1,50.0,2025-10-04T18:00:00Z,2025-10-04,—
2025,6,Michigan,Wisconsin,Spread,Home,DraftKings,-110,-17.5,0.9994,0.5238,0.908,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Buffalo,Eastern Michigan,Spread,Home,FanDuel,-110,-10.5,0.9994,0.5238,0.9079,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Pittsburgh,Boston College,Spread,Home,LeoVegas (SE),-110,-7.0,0.9992,0.5238,0.9075,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Navy,Air Force,Spread,Home,DraftKings,-110,-12.5,0.9991,0.5238,0.9073,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Florida State,Miami,Spread,Home,Coral,-110,-3.5,0.9988,0.5238,0.9069,0.1,50.0,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,San Diego State,Colorado State,Spread,Home,Nordic Bet,-110,-10.5,0.9988,0.5238,0.9068,0.1,50.0,2025-10-04T02:30:00Z,2025-10-04,—
2025,6,App State,Oregon State,Spread,Home,BetOnline.ag,-110,-2.0,0.9985,0.5238,0.9063,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,UConn,Florida International,Spread,Home,Ladbrokes,-110,-8.5,0.9969,0.5238,0.9031,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Baylor,Kansas State,Spread,Home,FanDuel,-110,-6.5,0.9964,0.5238,0.9022,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Florida,Texas,Spread,Home,Coral,-110,-3.5,0.9962,0.5238,0.9018,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Delaware,Western Kentucky,Spread,Home,Unibet,-110,-3.0,0.996,0.5238,0.9014,0.1,50.0,2025-10-03T23:00:00Z,2025-10-03,—
2025,6,Rice,Florida Atlantic,Spread,Home,LowVig.ag,-110,-5.0,0.9954,0.5238,0.9003,0.1,50.0,2025-10-04T23:00:00Z,2025-10-04,—
2025,6,Virginia Tech,Wake Forest,Spread,Home,1xBet,-110,-6.5,0.9951,0.5238,0.8997,0.1,50.0,2025-10-04T17:00:00Z,2025-10-04,—
2025,6,Wyoming,UNLV,Spread,Home,FanDuel,-110,3.5,0.9934,0.5238,0.8965,0.1,50.0,2025-10-04T23:00:00Z,2025-10-04,—
2025,6,UCF,Kansas,Spread,Home,FanDuel,-110,4.5,0.9903,0.5238,0.8906,0.1,50.0,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,Northwestern,UL Monroe,Total,Over,Ladbrokes,-110,39.5,0.9901,0.5238,0.8901,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,UAB,Army,Spread,Home,DraftKings,-110,6.5,0.9832,0.5238,0.877,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Troy,South Alabama,Spread,Home,Ladbrokes,-110,-2.5,0.9824,0.5238,0.8754,0.1,50.0,2025-10-04T23:00:00Z,2025-10-04,—
2025,6,Cincinnati,Iowa State,Spread,Home,ESPN BET,-110,-2.5,0.9812,0.5238,0.8733,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Houston,Texas Tech,Spread,Home,BetOnline.ag,-110,11.0,0.9703,0.5238,0.8524,0.1,50.0,2025-10-04T23:00:00Z,2025-10-04,—
2025,6,Purdue,Illinois,Spread,Home,Ladbrokes,-110,8.5,0.97,0.5238,0.8519,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,App State,Oregon State,ML,Home,Paddy Power,-115,,0.9701,0.5349,0.8137,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Arkansas State,Texas State,Total,Under,Coral,-110,68.5,0.9413,0.5238,0.797,0.1,50.0,2025-10-04T20:00:00Z,2025-10-04,—
2025,6,Arkansas State,Texas State,Spread,Home,Pinnacle,-110,13.0,0.941,0.5238,0.7965,0.1,50.0,2025-10-04T20:00:00Z,2025-10-04,—
2025,6,Baylor,Kansas State,Total,Under,Coral,-110,65.5,0.9371,0.5238,0.789,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Cincinnati,Iowa State,Total,Under,Coral,-110,58.5,0.9268,0.5238,0.7693,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Wyoming,UNLV,Total,Over,BetOnline.ag,-110,48.5,0.9182,0.5238,0.7529,0.1,50.0,2025-10-04T23:00:00Z,2025-10-04,—
2025,6,Notre Dame,Boise State,Total,Under,Coral,-110,66.5,0.9158,0.5238,0.7483,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,California,Duke,Spread,Home,FanDuel,-110,2.5,0.9121,0.5238,0.7413,0.1,50.0,2025-10-05T02:30:00Z,2025-10-05,—
2025,6,Maryland,Washington,Spread,Home,Ladbrokes,-110,5.5,0.9077,0.5238,0.7329,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Temple,UTSA,Spread,Home,Ladbrokes,-110,5.5,0.891,0.5238,0.7011,0.1,50.0,2025-10-04T17:00:00Z,2025-10-04,—
2025,6,Ohio State,Minnesota,Total,Over,ESPN BET,-110,41.5,0.8784,0.5238,0.6769,0.1,50.0,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,Temple,UTSA,Total,Under,Coral,-110,61.5,0.869,0.5238,0.6591,0.1,50.0,2025-10-04T17:00:00Z,2025-10-04,—
2025,6,Fresno State,Nevada,Total,Over,Ladbrokes,-110,44.5,0.8616,0.5238,0.6448,0.1,50.0,2025-10-05T02:30:00Z,2025-10-05,—
2025,6,SMU,Syracuse,Total,Under,Coral,-110,61.5,0.8525,0.5238,0.6275,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,San Diego State,Colorado State,Total,Over,Ladbrokes,-110,39.5,0.8351,0.5238,0.5944,0.1,50.0,2025-10-04T02:30:00Z,2025-10-04,—
2025,6,Massachusetts,Western Michigan,Spread,Home,Coral,-110,10.5,0.8298,0.5238,0.5842,0.1,50.0,2025-10-04T18:30:00Z,2025-10-04,—
2025,6,Nebraska,Michigan State,Total,Over,Coral,-110,47.5,0.8296,0.5238,0.5839,0.1,50.0,2025-10-04T20:00:00Z,2025-10-04,—
2025,6,North Carolina,Clemson,Spread,Home,ESPN BET,-110,13.5,0.8276,0.5238,0.5801,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Massachusetts,Western Michigan,Total,Over,Coral,-110,42.5,0.8264,0.5238,0.5777,0.1,50.0,2025-10-04T18:30:00Z,2025-10-04,—
2025,6,UCF,Kansas,Total,Under,Coral,-110,58.5,0.8166,0.5238,0.559,0.1,50.0,2025-10-04T23:30:00Z,2025-10-04,—
2025,6,Alabama,Vanderbilt,Total,Under,Coral,-110,59.5,0.8146,0.5238,0.5551,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Navy,Air Force,Total,Over,Ladbrokes,-110,49.5,0.8107,0.5238,0.5477,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Ball State,Ohio,Spread,Home,BetOnline.ag,-110,14.0,0.7893,0.5238,0.5068,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,App State,Oregon State,Total,Under,Coral,-110,57.5,0.7833,0.5238,0.4953,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Akron,Central Michigan,Total,Under,Coral,-110,50.5,0.782,0.5238,0.4929,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Old Dominion,Coastal Carolina,Total,Over,ESPN BET,-110,53.5,0.7788,0.5238,0.4868,0.1,50.0,2025-10-04T22:00:00Z,2025-10-04,—
2025,6,Ball State,Ohio,Total,Under,Coral,-110,55.5,0.7698,0.5238,0.4697,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Troy,South Alabama,Total,Under,Coral,-110,51.5,0.7636,0.5238,0.4578,0.1,50.0,2025-10-04T23:00:00Z,2025-10-04,—
2025,6,NC State,Campbell,Total,Under,FanDuel,-110,61.5,0.7618,0.5238,0.4543,0.1,50.0,2025-10-04T18:00:00Z,2025-10-04,—
2025,6,Troy,South Alabama,ML,Home,Betfair,-102,,0.7264,0.505,0.4386,0.1,50.0,2025-10-04T23:00:00Z,2025-10-04,—
2025,6,Louisville,Virginia,Total,Under,Coral,-110,65.5,0.7524,0.5238,0.4364,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Purdue,Illinois,Total,Under,Coral,-110,60.5,0.7519,0.5238,0.4355,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Louisville,Virginia,ML,Home,FanDuel,-210,,0.9577,0.6774,0.4138,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,North Carolina,Clemson,Total,Over,Ladbrokes,-110,45.5,0.7368,0.5238,0.4065,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,California,Duke,Total,Under,Pinnacle,-110,56.0,0.7351,0.5238,0.4035,0.1,50.0,2025-10-05T02:30:00Z,2025-10-05,—
2025,6,UAB,Army,Total,Under,Coral,-110,61.5,0.7134,0.5238,0.362,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
2025,6,Florida,Texas,Total,Over,MyBookie.ag,-110,42.0,0.7127,0.5238,0.3606,0.1,50.0,2025-10-04T19:30:00Z,2025-10-04,—
2025,6,Cincinnati,Iowa State,ML,Home,Betfair,-119,,0.7367,0.5434,0.3558,0.1,50.0,2025-10-04T16:00:00Z,2025-10-04,—
